ID,Description,yesNoDialogMessageId,limitCancelSpEffectId,sortId,refId,mp,stamina,iconId,behaviorId,mtrlItemId,replaceMagicId,maxQuantity,heroPoint,overDexterity,sfxVariationId,slotLength,requirementIntellect,requirementFaith,analogDexiterityMin,analogDexiterityMax,ezStateBehaviorType,refCategory,spEffectCategory,refType,opmeMenuType,hasSpEffectType,replaceCategory,useLimitCategory,vowType0:1,vowType1:1,vowType2:1,vowType3:1,vowType4:1,vowType5:1,vowType6:1,vowType7:1,enable_multi:1,enable_multi_only:1,isEnchant:1,isShieldEnchant:1,enable_live:1,enable_gray:1,enable_white:1,enable_black:1,disableOffline:1,castResonanceMagic:1,vowType8:1,vowType9:1,vowType10:1,vowType11:1,vowType12:1,vowType13:1,vowType14:1,vowType15:1
2050,"範囲回復",0,-1,5,3100,40,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,5,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2060,"加速",0,-1,6,1120,30,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,2,3,6,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2070,"地を這う魔法",0,-1,7,11500,40,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,7,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2080,"誘導弾",0,-1,8,3000,20,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,8,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2090,"同士討ち",0,-1,9,2000,200,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,9,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2100,"メッセンジャー爆弾",0,-1,10,2200,15,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,10,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2110,"メッセンジャー擬態",0,-1,11,2700,20,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,11,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2500,"短銃_銃弾",0,-1,100,500,5,0,11,0,-1,-1,-1,0,99,-1,1,0,0,0,0,2,1,3,22,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2600,"長銃_銃弾",0,-1,101,600,5,0,11,0,-1,-1,-1,0,99,-1,1,0,0,0,0,1,1,3,22,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2700,"大筒_銃弾",0,-1,102,700,20,0,11,0,-1,-1,-1,0,99,-1,1,0,0,0,0,3,1,3,22,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
