ID,Description,hit0_Radius,hit1_Radius,hit2_Radius,hit3_Radius,knockbackDist,hitStopTime,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,hit0_DmyPoly1,hit1_DmyPoly1,hit2_DmyPoly1,hit3_DmyPoly1,hit0_DmyPoly2,hit1_DmyPoly2,hit2_DmyPoly2,hit3_DmyPoly2,blowingCorrection,atkPhysCorrection,atkMagCorrection,atkFireCorrection,atkThunCorrection,atkStamCorrection,guardAtkRateCorrection,guardBreakCorrection,atkThrowEscapeCorrection,atkSuperArmorCorrection,atkPhys,atkMag,atkFire,atkThun,atkStam,guardAtkRate,guardBreakRate,atkSuperArmor,atkThrowEscape,atkObj,guardStaminaCutRate,guardRate,throwTypeId,hit0_hitType,hit1_hitType,hit2_hitType,hit3_hitType,hti0_Priority,hti1_Priority,hti2_Priority,hti3_Priority,dmgLevel,mapHitType,guardCutCancelRate,atkAttribute,spAttribute,atkType,atkMaterial,atkSize,defMaterial,defSfxMaterial,hitSourceType,throwFlag,disableGuard:1,disableStaminaAttack:1,disableHitSpEffect:1,IgnoreNotifyMissSwingForAI:1,repeatHitSfx:1,isArrowAtk:1,isGhostAtk:1,isDisableNoDamage:1,atkPow_forSfxSe,atkDir_forSfxSe,opposeTarget:1,friendlyTarget:1,selfTarget:1,isChargeAtk:1,isShareHitList:1,isCheckObjPenetration:1,regainableSlotId,deathcauseId,decalId1,decalId2,appearAiSoundId,hitAiSoundId,wepRegainHpScale,atkRegainHp,regainableTimeScale,regainableHpRateScale
16,"テンプレ　LV７　吹っ飛び（小）",0.4000000059604645,0.0,0.0,0.0,1.7999999523162842,0.0,-1,-1,-1,-1,-1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,160,100,0,60,0,100,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
17,"テンプレ　LV８　極小ダメージ",0.4000000059604645,0.0,0.0,0.0,0.20000000298023224,0.0,-1,-1,-1,-1,-1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,20,20,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
18,"テンプレ　LV９　かち上げダメージ",0.4000000059604645,0.0,0.0,0.0,4.0,0.0,-1,-1,-1,-1,-1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,160,100,0,60,0,100,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
19,"テンプレ　LV10 吹っ飛び（特大）",0.4000000059604645,0.0,0.0,0.0,1.7999999523162842,0.0,-1,-1,-1,-1,-1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,240,100,0,60,0,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
20,"テンプレ　LV11 ブレス",0.4000000059604645,0.0,0.0,0.0,1.7999999523162842,0.0,-1,-1,-1,-1,-1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,160,100,0,60,0,100,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
21,"テンプレ　ガード",0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
22,"テンプレ　パリィ用ガード",0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
23,"テンプレ　パリィ投げ",0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
24,"テンプレ　背面投げ",0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
25,"テンプレ　パリィ",0.800000011920929,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,8,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
101,"NPC_test1",0.4000000059604645,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
102,"NPC_test2",0.800000011920929,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
103,"NPC_test3",0.4000000059604645,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
104,"NPC_test4_ガード",0.4000000059604645,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
105,"NPC_test5_大攻撃",0.4000000059604645,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
106,"NPC_test6_盾攻撃",0.5,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
107,"NPC_test7_突進攻撃",0.4000000059604645,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
200,"落下　半径1ｍ",0.10000000149011612,0.0,0.0,0.0,0.44999998807907104,0.0,-1,-1,-1,-1,-1,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
201,"吹っ飛び（弱）　半径1ｍ",0.10000000149011612,0.0,0.0,0.0,0.44999998807907104,0.0,-1,-1,-1,-1,-1,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
202,"吹っ飛び（強）　半径1ｍ",0.10000000149011612,0.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
2000,"墓王　魔空間攻撃",0.0,0.0,0.0,0.0,4.0,0.0,5263,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,373,0,0,0,100,0,999,0,100,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3000,"共通攻撃【ハシゴ_右パンチ】",0.30000001192092896,0.0,0.0,0.0,0.6600000262260437,0.0,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,100,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3001,"共通攻撃【ハシゴ_右キック】",0.30000001192092896,0.0,0.0,0.0,0.6600000262260437,0.0,-1,-1,-1,-1,-1,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,100,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3002,"共通攻撃【ハシゴ_左パンチ】",0.30000001192092896,0.0,0.0,0.0,0.6600000262260437,0.0,-1,-1,-1,-1,-1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,100,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3003,"共通攻撃【ハシゴ_左キック】",0.30000001192092896,0.0,0.0,0.0,0.6600000262260437,0.0,-1,-1,-1,-1,-1,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,100,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3004,"共通攻撃【ハシゴ_滑り降り】",0.699999988079071,0.699999988079071,0.0,0.0,0.6000000238418579,0.0,-1,-1,-1,-1,-1,3,4,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,100,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3005,"共通攻撃【ハシゴ_右パンチ_長身】",0.30000001192092896,0.0,0.0,0.0,0.6600000262260437,0.0,-1,-1,-1,-1,-1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,100,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3006,"共通攻撃【ハシゴ_左パンチ_長身】",0.30000001192092896,0.0,0.0,0.0,0.6600000262260437,0.0,-1,-1,-1,-1,-1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,100,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3100,"共通攻撃【落下・人型】",0.6000000238418579,0.6000000238418579,0.0,0.0,0.41999998688697815,0.0,-1,-1,-1,-1,-1,3,4,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,100,0,999,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3101,"共通攻撃【仰向け落下・人型】",0.6000000238418579,0.0,0.0,0.0,0.41999998688697815,0.0,-1,-1,-1,-1,-1,202,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,100,0,999,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3102,"共通攻撃【うつ伏せ落下・人型】",0.6000000238418579,0.0,0.0,0.0,0.41999998688697815,0.0,-1,-1,-1,-1,-1,201,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,100,0,999,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3103,"共通攻撃【着地・人型】",0.5,0.5,0.0,0.0,0.6000000238418579,0.0,-1,-1,-1,-1,-1,3,4,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3104,"共通攻撃【ドスン着地・人型】",0.5,0.5,0.0,0.0,0.6000000238418579,0.0,-1,-1,-1,-1,-1,3,4,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3105,"共通攻撃【仰向け着地・人型】",0.6000000238418579,0.0,0.0,0.0,0.6000000238418579,0.0,-1,-1,-1,-1,-1,202,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3106,"共通攻撃【うつ伏せ着地・人型】",0.6000000238418579,0.0,0.0,0.0,0.6000000238418579,0.0,-1,-1,-1,-1,-1,201,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3107,"共通攻撃【吹っ飛ぶ・人型】",0.4399999976158142,0.0,0.0,0.0,1.399999976158142,0.0,-1,-1,-1,-1,-1,202,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,45,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3108,"共通攻撃【ステップ・人型】",0.5,0.5,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,3,4,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3109,"共通攻撃【ステップ・c2520不死人盗賊】",0.5,0.5,0.6000000238418579,0.0,0.0,0.0,-1,-1,-1,-1,-1,3,4,202,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3110,"共通攻撃【落下・四足型】",0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.41999998688697815,0.0,-1,-1,-1,-1,-1,3,4,1,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,100,0,999,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3111,"共通攻撃【着地・四足型】",0.5,0.5,0.5,0.5,0.6000000238418579,0.0,-1,-1,-1,-1,-1,3,4,1,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3112,"共通攻撃【吹っ飛ぶ・ｃ1200犬ネズミ】",0.3499999940395355,0.0,0.0,0.0,1.399999976158142,0.0,-1,-1,-1,-1,-1,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,45,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3113,"共通攻撃【ステップ・c2950スケルトン（獣）】",0.5,0.5,0.699999988079071,0.5,0.0,0.0,-1,-1,-1,-1,-1,3,4,5,1,5,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
3114,"共通攻撃【落下・c2950スケルトン（獣）】",0.6000000238418579,0.6000000238418579,0.8999999761581421,0.6000000238418579,0.41999998688697815,0.0,-1,-1,-1,-1,-1,3,4,5,1,5,5,7,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,100,0,999,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,100,-1,-1,0,0,100,0,1.3300000429153442,1.0
