ID,Description,atkId_Bullet,sfxId_Bullet,sfxId_Hit,sfxId_Flick,life,dist,shootInterval,gravityInRange,gravityOutRange,hormingStopRange,initVellocity,accelInRange,accelOutRange,maxVellocity,minVellocity,accelTime,homingBeginDist,hitRadius,hitRadiusMax,spreadTime,expDelay,hormingOffsetRange,dmgHitRecordLifeTime,externalForce,spEffectIDForShooter,autoSearchNPCThinkID,HitBulletID,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,numShoot,homingAngle,shootAngle,shootAngleInterval,shootAngleXInterval,damageDamp,spelDamageDamp,fireDamageDamp,thunderDamageDamp,staminaDamp,knockbackDamp,shootAngleXZ,lockShootLimitAng,isPenetrate,prevVelocityDirRate,atkAttribute,spAttribute,Material_AttackType,Material_AttackMaterial,Material_Size,launchConditionType,FollowType:3,EmittePosType:3,isAttackSFX:1,isEndlessHit:1,isPenetrateMap:1,isHitBothTeam:1,isUseSharedHitList:1,isUseMultiDmyPolyIfPlace:1,attachEffectType:2,isHitForceMagic:1,isIgnoreSfxIfHitWater:1,isIgnoreMoveStateIfHitWater:1,isHitDarkForceMagic:1,isInheritEffectToChild:1,isInheritSpeedToChild:1
75,"炎_チロチロ延焼判定弾（演出用）",0,-1,-1,-1,0.05000000074505806,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,1.5,0.0,0,0,76,0,0,0,0,0,12,0,0,15,155,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
76,"炎_チロチロ延焼本体（演出用）",0,-1,920,-1,0.14000000059604645,10.0,0.0,100.0,100.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.10000000149011612,0.20000000298023224,0.10000000149011612,0.0,0.0,1.5,0.0,0,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
77,"炎_延焼相手を巻き込むダメージ",11,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
80,"炎_チロチロ延焼拡散（演出用）",0,-1,920,-1,0.20000000298023224,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,1.5,0.0,0,0,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-70,0,1,0,2,1,0,6,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
81,"炎_油沼拡散1（ダメージあり）",30,-1,920,-1,0.20000000298023224,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,0.3499999940395355,-1.0,0.0,0.0,0.0,1.5,0.0,0,0,82,0,0,0,0,0,1,0,-80,0,0,0,0,0,0,0,0,-40,0,1,0,2,2,0,6,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
82,"炎_油沼拡散2（ダメージあり）",30,-1,920,-1,0.20000000298023224,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,0.3499999940395355,-1.0,0.0,0.0,0.0,1.5,0.0,0,0,83,0,0,0,0,0,1,0,-74,0,0,0,0,0,0,0,0,-30,0,1,0,2,2,0,6,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
83,"炎_油沼拡散3（ダメージあり）",30,-1,920,-1,0.20000000298023224,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,0.3499999940395355,-1.0,0.0,0.0,0.0,1.5,0.0,0,0,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-30,0,1,0,2,2,0,6,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
84,"炎_油沼拡散4（ダメージあり）",30,-1,920,-1,0.20000000298023224,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,0.3499999940395355,-1.0,0.0,0.0,0.0,1.5,0.0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-40,0,1,0,2,2,0,6,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
100,"火炎瓶【前に飛ぶ】",16,20100,-1,-1,4.0,6.0,0.0,8.0,12.0,0.0,15.0,0.0,-8.0,50.0,15.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,15,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
101,"火炎瓶【爆発】",1052,20200,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,-1.0,0.0,0.0,0.0,1.5,0.0,0,0,75,421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
105,"【DLC】時限火炎瓶【前に飛ぶ】",1061,20120,-1,-1,4.0,2.0,0.0,40.0,20.0,0.0,15.0,0.0,-10.0,15.0,10.0,0.0,0.0,0.05000000074505806,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-40,20,1,0,2,2,0,6,0,255,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
106,"【DLC】時限火炎瓶【着弾エフェクト残す用】",16,-1,20220,20220,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.05000000074505806,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,"【DLC】時限火炎瓶【時限】",16,-1,-1,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,"【DLC】時限火炎瓶【着弾判定】",16,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"【DLC】時限火炎瓶【爆発】",1060,20320,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,2.200000047683716,0.30000001192092896,0.0,0.0,0.0,0.0,0,0,75,421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,"背後火炎瓶【角度調整用】",16,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
111,"背後火炎瓶【背後に飛ぶ】",16,20100,-1,-1,4.0,0.0,0.0,0.0,60.0,0.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,112,0,0,0,0,0,1,0,-10,0,0,0,0,0,0,0,0,-60,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
112,"背後火炎瓶【爆発】",1052,20200,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,75,421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,"【DLC】時限背後火炎瓶【角度調整用】",16,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"【DLC】時限背後火炎瓶【背後に飛ぶ】",1061,20120,-1,-1,4.0,0.0,0.0,0.0,60.0,0.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,0.05000000074505806,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,116,0,0,0,0,0,1,0,-10,0,0,0,0,0,0,0,0,-60,0,1,0,2,2,0,6,0,255,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
116,"【DLC】時限背後火炎瓶【着弾エフェクト残す用】",16,-1,20221,20221,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.05000000074505806,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,"【DLC】時限背後火炎瓶【時限】",16,-1,-1,-1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,"【DLC】時限背後火炎瓶【着弾判定】",16,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"【DLC】時限背後火炎瓶【爆発】",1060,20200,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,2.200000047683716,0.30000001192092896,0.0,0.0,0.0,0.0,0,0,75,421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,"投げナイフ",1050,20104,20204,20304,2.0,8.0,0.0,0.0,9.800000190734863,1.0,20.0,10.0,0.0,50.0,10.0,0.0,0.0,0.11999999731779099,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0,0,0,0,0,1,0,0,0,0,40,40,40,0,40,40,0,30,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
121,"毒投げナイフ",1051,20105,20205,20305,2.0,8.0,0.0,0.0,9.800000190734863,1.0,20.0,10.0,0.0,50.0,10.0,0.0,0.0,0.11999999731779099,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,2120,0,0,0,0,1,0,0,0,0,40,40,40,0,40,40,0,30,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
130,"HP毒瓶【親】",0,20101,-1,-1,4.0,6.0,0.0,8.0,12.0,0.0,15.0,0.0,-8.0,50.0,15.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,15,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
131,"HP毒瓶【子】",0,20201,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,1.399999976158142,0.6000000238418579,0.0,0.0,0.0,0.0,0,0,-1,2120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,"HP猛毒瓶【親】",0,20101,-1,-1,4.0,6.0,0.0,8.0,12.0,0.0,15.0,0.0,-8.0,50.0,15.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,15,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
141,"HP猛毒瓶【子】",0,20201,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,1.399999976158142,0.6000000238418579,0.0,0.0,0.0,0.0,0,0,-1,2121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,"油壺【親】",17,20101,-1,-1,4.0,6.0,0.0,8.0,12.0,0.0,15.0,0.0,-8.0,50.0,15.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,15,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
151,"油壺【子】",1101,20201,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,2140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,"またたびＡ【親】",0,20107,-1,-1,4.0,0.0,0.0,0.0,12.0,1.0,15.0,0.0,-8.0,50.0,12.0,0.0,0.0,0.07999999821186066,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,1,0,2,1,0,6,0,255,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
161,"またたびＡ【子】",1202,20207,-1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,2110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,"石ころ【親】",1000,20103,20203,20303,4.0,10.0,0.0,3.0,16.0,0.0,20.0,0.0,-8.0,20.0,16.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,15,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
180,"HP回復不可【親】",0,20108,-1,-1,4.0,6.0,0.0,8.0,12.0,0.0,15.0,0.0,-8.0,50.0,15.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,15,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
181,"HP回復不可【子】",1001,20208,-1,-1,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,2150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,"HP毒治療【状態回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3200,0,201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,"HP毒治療【耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3201,0,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
210,"MP治療【状態回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3210,0,211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
211,"MP治療【耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3211,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,"出血治療【状態回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3220,0,221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,"出血治療【耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3221,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230,"発狂治療【状態回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3230,0,231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
231,"発狂治療【耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3231,0,251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240,"HP毒治療【HP毒状態回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3200,0,241,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
241,"HP毒治療【HP毒耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3201,0,242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
242,"MP毒治療【MP毒耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3210,0,243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
243,"MP毒治療【MP毒耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3211,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,"獣化治療【耐性回復】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-1.0,0.0,0.0,0.0,0.0,0.0,3251,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
260,"虫【投げ】",0,20198,-1,-1,0.25999999046325684,20.0,0.0,9.800000190734863,9.800000190734863,0.0,2.0,0.0,0.0,20.0,2.0,0.0,0.0,0.05000000074505806,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,261,0,0,0,0,0,1,0,-40,0,0,0,0,0,0,0,0,-60,0,1,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
