ID,Description,neckTurnGain,originalGroundHeightMS,minAnkleHeightMS,maxAnkleHeightMS,cosineMaxKneeAngle,cosineMinKneeAngle,footPlantedAnkleHeightMS,footRaisedAnkleHeightMS,raycastDistanceUp,raycastDistanceDown,footEndLS_X,footEndLS_Y,footEndLS_Z,onOffGain,groundAscendingGain,groundDescendingGain,footRaisedGain,footPlantedGain,footUnlockGain,kneeAxisType,useFootLocking,footPlacementOn,twistKneeAxisType,neckTurnPriority,neckTurnMaxAngle
2020,"アイアンゴーレム右足",0.0,0,-300,500,-95,55,0,2,250,235,0,0,10,60,100,100,10,60,80,4,1,1,1,0,0
2021,"アイアンゴーレム左足",0.0,0,-300,500,-95,55,0,2,250,235,0,0,10,60,100,100,10,60,80,4,1,1,1,0,0
2022,"アイアンゴーレム右手",0.0,0,-200,370,-95,55,0,1,0,0,0,0,0,10,100,100,0,100,80,4,0,1,1,0,0
2030,"ハンマーデーモン左足",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
2031,"ハンマーデーモン右足",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
5010,"炎の獣_左前脚",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
5011,"炎の獣_右前脚",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
5012,"炎の獣_左後脚",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
5013,"炎の獣_右後脚",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
5014,"炎の獣_首振り_頭",0.30000001192092896,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,4,15
5015,"炎の獣_首振り_首1",0.30000001192092896,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,3,15
5016,"炎の獣_首振り_首2",0.30000001192092896,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,2,15
5017,"炎の獣_首振り_首3",0.30000001192092896,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,1,15
5018,"炎の獣_首振り_首4",0.30000001192092896,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,30
3004,"クラグ足⑤",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3005,"クラグ足⑥",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3100,"クラグ足⑦",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3101,"クラグ足⑧",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3102,"クラグ足⑨",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3103,"クラグ足⑩",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3104,"クラグ足⑪",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3105,"クラグ足⑫",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
3106,"クラグ足⑬",0.0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0
