ID,Description,behaviorVariationId,aiThinkId,nameId,turnVellocity,hitHeight,hitRadius,weight,hitYOffset,hp,mp,getSoul,itemLotId_1,itemLotId_2,itemLotId_3,itemLotId_4,itemLotId_5,itemLotId_6,humanityLotId,spEffectID0,spEffectID1,spEffectID2,spEffectID3,spEffectID4,spEffectID5,spEffectID6,spEffectID7,GameClearSpEffectID,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,animIdOffset,moveAnimId,spMoveAnimId1,spMoveAnimId2,networkWarpDist,dbgBehaviorR1,dbgBehaviorL1,dbgBehaviorR2,dbgBehaviorL2,dbgBehaviorRL,dbgBehaviorRR,dbgBehaviorRD,dbgBehaviorRU,dbgBehaviorLL,dbgBehaviorLR,dbgBehaviorLD,dbgBehaviorLU,animIdOffset2,partsDamageRate1,partsDamageRate2,partsDamageRate3,partsDamageRate4,partsDamageRate5,partsDamageRate6,partsDamageRate7,partsDamageRate8,weakPartsDamageRate,superArmorRecoverCorrection,superArmorBrakeKnockbackDist,stamina,staminaRecoverBaseVel,def_phys,def_slash,def_blow,def_thrust,def_mag,def_fire,def_thunder,defFlickPower,resist_poison,resist_desease,resist_blood,resist_curse,ghostModelId,normalChangeResouceId,guardAngle,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,superArmorDurability,normalChangeTexChrId,dropType,knockbackRate,knockbackParamId,fallDamageDump,staminaGuardDef,pcAttrB,pcAttrW,pcAttrL,pcAttrR,areaAttrB,areaAttrW,areaAttrL,areaAttrR,mpRecoverBaseVel,flickDamageCutRate,defaultLodParamId,drawType,npcType,teamType,moveType,lockDist,material,materialSfx,material_Weak,materialSfx_Weak,partsDamageType,maxUndurationAng,guardLevel,burnSfxType,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,parryAttack,parryDefence,sfxSize,pushOutCamRegionRadius,hitStopType,ladderEndChkOffsetTop,ladderEndChkOffsetLow,useRagdollCamHit:1,disableClothRigidHit:1,useRagdoll:1,isDemon:1,isGhost:1,isNoDamageMotion:1,isUnduration:1,isChangeWanderGhost:1,modelDispMask0:1,modelDispMask1:1,modelDispMask2:1,modelDispMask3:1,modelDispMask4:1,modelDispMask5:1,modelDispMask6:1,modelDispMask7:1,modelDispMask8:1,modelDispMask9:1,modelDispMask10:1,modelDispMask11:1,modelDispMask12:1,modelDispMask13:1,modelDispMask14:1,modelDispMask15:1,isEnableNeckTurn:1,disableRespawn:1,isMoveAnimWait:1,isCrowd:1,isWeakSaint:1,isWeakA:1,isWeakB:1,isEnableDropSoulCapture:1,vowType:3,disableInitializeDead:1,isSoulGetByBoss:1,isMultilingual:1,modelDispMask16:1,modelDispMask17:1,modelDispMask18:1,modelDispMask19:1,modelDispMask20:1,modelDispMask21:1,modelDispMask22:1,modelDispMask23:1,modelDispMask24:1,modelDispMask25:1,modelDispMask26:1,modelDispMask27:1,modelDispMask28:1,modelDispMask29:1,modelDispMask30:1,modelDispMask31:1,itemSearchRadius,normalChangeModelId,clothUpdateOffset,subHitOffset,subHitHeight,subHitRadius,paintRenderTargetSize,normalChangeAnimChrId,regainRate_PhysNeutral,regainRate_PhysSlash,regainRate_PhysBlow,regainRate_PhysThrust,regainRate_Magic,regainRate_Fire,regainRate_Thunder,maxAnkleAngle
500,"DS２プロト　ハシゴが大好きな騎士",1020,500,0,180.0,1.5,0.4000000059604645,100,0.0,130,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,100,16.0,3000,3001,3002,3003,9800,3300,6200,9910,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,90,0,0,0,54,70,40,0,75,75,180,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,23,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
501,"DS２プロト　仲間を助けるデカ獄吏",1060,501,0,120.0,1.7999999523162842,0.4000000059604645,150,0.0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,100,8.0,3000,3001,3002,3003,3004,3005,3006,3007,3008,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,78,0,50,0,36,70,40,0,120,120,180,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,23,3,0,58,59,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
502,"会話するスケルトンテスト",29000,290000,0,180.0,1.5,0.4000000059604645,100,0.0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,100,16.0,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,100,0,-25,0,20,70,40,0,900,900,999,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,26,3,0,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
503,"棺投げ専用　スケルトン（大）",29100,503,0,120.0,2.5,0.6000000238418579,100,0.0,500,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,100,16.0,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,125,0,-25,0,20,70,40,0,900,900,999,0,-1,-1,0,0,0,0,60,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,3,0,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
510,"ＤＳ２テスト　騎士想定",20200,510,0,180.0,1.5,0.4000000059604645,100,0.0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,100,16.0,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,120,0,0,0,54,70,40,0,75,75,180,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
511,"スケルトン＿曲剣パリィ",29000,511,0,180.0,1.5,0.4000000059604645,100,0.0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,100,16.0,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,100,0,-25,0,20,70,40,0,900,900,999,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,3,0,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
514,"ワイバーン・鳥制御",35200,514,0,90.0,2.4000000953674316,0.800000011920929,100,0.0,150,0,0,-1,-1,-1,-1,-1,-1,-1,5300,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,101,102,0,16.0,3000,3001,3002,3003,3004,3005,3006,3007,702,703,706,705,20000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,100,40,100,0,0,0,20,70,40,0,120,200,210,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,12,0,0,23,5,10,59,59,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
520,"DS2Test 川上用",25000,530,0,180.0,1.5,0.4000000059604645,100,0.0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,120,16.0,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,120,0,0,0,54,70,40,0,75,75,180,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
521,"DS2Test 川上用味方",1030,530,0,135.0,1.5,0.6000000238418579,100,0.0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,900,102,100,16.0,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,120,0,0,0,54,70,40,0,75,75,180,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,4,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
522,"DS2Test 川上用2",25000,530,0,180.0,1.5,0.4000000059604645,100,0.0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,120,16.0,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,120,0,0,0,54,70,40,0,75,75,180,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,6,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
540,"自動巡回テスト 歩き",1030,540,0,180.0,1.5,0.4000000059604645,100,0.0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,100,102,100,16.0,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100,40,120,0,0,0,54,70,40,0,75,75,180,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,0,0.0,0.0,0.0,256,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
