ID,Description,useSoul,materialItemId_1,materialItemId_2,materialItemId_3,materialItemId_4,materialItemId_5,num_1,num_2,num_3,num_4,num_5
70370,"自動生成聖杯【レベル7】 A：トゥメル_ひどい呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
70380,"自動生成聖杯【レベル7】 A：トゥメル_ひどい呪い：ひどい呪い",10,7000,0,0,0,0,1,0,0,0,0
72100,"自動生成聖杯【レベル7】 C：ローラン_呪い",10,7000,0,0,0,0,1,0,0,0,0
72110,"自動生成聖杯【レベル7】 C：ローラン_呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
72120,"自動生成聖杯【レベル7】 C：ローラン_呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
72170,"自動生成聖杯【レベル7】 C：ローラン_呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
72200,"自動生成聖杯【レベル7】 C：ローラン_マルチ",10,7000,0,0,0,0,1,0,0,0,0
72240,"自動生成聖杯【レベル7】 C：ローラン_マルチ：敵対マルチ",10,7000,0,0,0,0,1,0,0,0,0
72300,"自動生成聖杯【レベル7】 C：ローラン_ひどい呪い",10,7000,0,0,0,0,1,0,0,0,0
72310,"自動生成聖杯【レベル7】 C：ローラン_ひどい呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
72320,"自動生成聖杯【レベル7】 C：ローラン_ひどい呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
72370,"自動生成聖杯【レベル7】 C：ローラン_ひどい呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
72380,"自動生成聖杯【レベル7】 C：ローラン_ひどい呪い：ひどい呪い",10,7000,0,0,0,0,1,0,0,0,0
73100,"自動生成聖杯【レベル7】 D：イズ_呪い",10,7000,0,0,0,0,1,0,0,0,0
73110,"自動生成聖杯【レベル7】 D：イズ_呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
73120,"自動生成聖杯【レベル7】 D：イズ_呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
73170,"自動生成聖杯【レベル7】 D：イズ_呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
73200,"自動生成聖杯【レベル7】 D：イズ_マルチ",10,7000,0,0,0,0,1,0,0,0,0
73240,"自動生成聖杯【レベル7】 D：イズ_マルチ：敵対マルチ",10,7000,0,0,0,0,1,0,0,0,0
73300,"自動生成聖杯【レベル7】 D：イズ_ひどい呪い",10,7000,0,0,0,0,1,0,0,0,0
73310,"自動生成聖杯【レベル7】 D：イズ_ひどい呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
73320,"自動生成聖杯【レベル7】 D：イズ_ひどい呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
73370,"自動生成聖杯【レベル7】 D：イズ_ひどい呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
73380,"自動生成聖杯【レベル7】 D：イズ_ひどい呪い：ひどい呪い",10,7000,0,0,0,0,1,0,0,0,0
