ID,Description,ritualLv,attributeId,mapBaseId,holygrailTypeId,variationNum,mainFeature_1,dungeonNameBaseId,uniqueBaseFlagId,uniqueItem00_head,uniqueItem00_tail,uniqueItem01_head,uniqueItem01_tail,uniqueItem02_head,uniqueItem02_tail,uniqueItem03_head,uniqueItem03_tail,directMapUid,requiredMaterialId,groupFrameNameId,uniqueItem04_head,uniqueItem04_tail,uniqueItem05_head,uniqueItem05_tail,uniqueItem06_head,uniqueItem06_tail,uniqueItem07_head,uniqueItem07_tail,uniqueItem08_head,uniqueItem08_tail,uniqueItem09_head,uniqueItem09_tail,uniqueItem10_head,uniqueItem10_tail,uniqueItem11_head,uniqueItem11_tail,uniqueItem12_head,uniqueItem12_tail,uniqueItem13_head,uniqueItem13_tail,fixedSf_1_subFeatureLotId,fixedSf_2_subFeatureLotId,fixedSf_3_subFeatureLotId,fixedSf_4_subFeatureLotId,fixedSf_5_subFeatureLotId,freeSf_1_subFeatureLotId,freeSf_2_subFeatureLotId,freeSf_3_subFeatureLotId,uniqueItem14_head,uniqueItem14_tail,isGenericHolygrail,releaseFlagIdOffset,groupSf_1_subFeatureLotId,groupSf_2_subFeatureLotId,groupSf_3_subFeatureLotId,groupSf_4_subFeatureLotId,groupSf_5_subFeatureLotId
6539,"固定聖杯【レベル5】イズ",5,4,539,3,1,2,503000,0,255,255,255,255,255,255,255,255,-1,539,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,995010110,998900000,995010450,995010120,995010220,994500000,-1,-1,255,255,0,95,-1,-1,-1,-1,-1
6629,"固定聖杯【レベル6】ローラン",6,2,629,2,1,3,602000,0,255,255,255,255,255,255,255,255,-1,629,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,255,255,0,255,-1,-1,-1,-1,-1
6639,"固定聖杯【レベル6】イズ",6,4,639,3,1,2,603000,0,255,255,255,255,255,255,255,255,-1,639,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,255,255,0,255,-1,-1,-1,-1,-1
6809,"固定聖杯【レベル8】トゥメル",8,0,809,0,1,4,800000,0,255,255,255,255,255,255,255,255,-1,809,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,255,255,0,255,-1,-1,-1,-1,-1
6100,"自動生成聖杯【レベル1】トゥメル",1,0,100,0,100,0,100000,5100,0,19,20,39,40,59,60,79,-1,10000,0,80,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9910030,9910035,9910050,-1,-1,-1,-1,-1,255,255,1,128,-1,-1,-1,-1,-1
6200,"自動生成聖杯【レベル2】トゥメル",2,0,200,0,100,0,200000,5120,0,19,20,39,40,59,60,79,-1,20000,0,80,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9920030,9920035,9920050,9920060,997700000,20010,-1,-1,255,255,1,135,-1,-1,-1,-1,-1
6210,"自動生成聖杯【レベル2】僻墓",2,0,210,1,100,1,201000,5140,0,19,20,39,40,59,60,79,-1,21000,0,80,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9921030,9921035,9921050,9921060,9921011,21010,-1,-1,255,255,1,136,-1,-1,-1,-1,-1
6300,"自動生成聖杯【レベル3】トゥメル",3,0,300,0,100,0,300000,5160,0,14,15,29,30,43,44,57,-1,30000,0,58,71,72,85,86,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9930030,9930035,9930050,9930060,-1,30010,30020,-1,255,255,1,142,-1,-1,-1,-1,-1
6302,"自動生成聖杯【レベル3】トゥメル_マルチ",3,0,302,0,100,0,300000,5160,0,14,15,29,30,43,44,57,-1,30200,0,58,71,72,85,86,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9930230,9930235,9930250,995010130,-1,30240,-1,-1,255,255,1,142,-1,-1,-1,-1,-1
6310,"自動生成聖杯【レベル3】僻墓",3,0,310,1,100,1,301000,5180,0,14,15,29,30,43,44,57,-1,31000,0,58,71,72,85,86,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9931030,9931035,9931050,9931060,9931011,31010,31020,-1,255,255,1,143,-1,-1,-1,-1,-1
6312,"自動生成聖杯【レベル3】僻墓_マルチ",3,0,312,1,100,1,301000,5180,0,14,15,29,30,43,44,57,-1,31200,0,58,71,72,85,86,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9931230,9931235,9931250,-1,9931211,31240,-1,-1,255,255,1,143,-1,-1,-1,-1,-1
6401,"自動生成聖杯【レベル4】トゥメル_呪い",4,0,401,0,200,4,400000,5200,0,29,30,59,60,87,88,115,-1,40100,0,116,143,144,171,172,199,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9940130,9940135,9940150,9940160,9940111,40110,40120,40170,255,255,1,149,-1,-1,-1,-1,-1
6420,"自動生成聖杯【レベル4】ローラン",4,2,420,2,200,3,402000,5220,0,29,30,59,60,87,88,115,-1,42000,0,116,143,144,171,172,199,255,255,255,255,255,255,255,255,255,255,255,255,255,255,9942030,9942035,9942050,9942060,-1,42010,42020,-1,255,255,1,151,-1,-1,-1,-1,-1
6500,"自動生成聖杯【レベル5】トゥメル",5,0,500,0,200,4,500000,5240,0,13,14,27,28,41,42,55,-1,50000,0,56,69,70,83,84,97,98,111,112,125,126,139,140,151,152,163,164,175,176,187,9950030,9950035,9950050,9950060,9950011,50010,50020,50070,188,199,1,156,-1,-1,-1,-1,-1
6502,"自動生成聖杯【レベル5】トゥメル_マルチ",5,0,502,0,200,4,500000,5240,0,13,14,27,28,41,42,55,-1,50200,0,56,69,70,83,84,97,98,111,112,125,126,139,140,151,152,163,164,175,176,187,9950230,9950235,9950250,995010130,9950211,50240,-1,-1,188,199,1,156,-1,-1,-1,-1,-1
6520,"自動生成聖杯【レベル5】ローラン",5,2,520,2,200,3,502000,5260,0,13,14,27,28,41,42,55,-1,52000,0,56,69,70,83,84,97,98,111,112,125,126,139,140,151,152,163,164,175,176,187,9952030,9952035,9952050,9952060,-1,52010,52020,52070,188,199,1,158,-1,-1,-1,-1,-1
6522,"自動生成聖杯【レベル5】ローラン_マルチ",5,2,522,2,200,3,502000,5260,0,13,14,27,28,41,42,55,-1,52200,0,56,69,70,83,84,97,98,111,112,125,126,139,140,151,152,163,164,175,176,187,9952230,9952235,9952250,-1,-1,52240,-1,-1,188,199,1,158,-1,-1,-1,-1,-1
6530,"自動生成聖杯【レベル5】イズ",5,4,530,3,200,2,503000,5280,0,17,18,35,36,53,54,71,-1,53000,0,72,87,88,103,104,119,120,135,136,151,152,167,168,183,184,199,255,255,255,255,9953030,9953035,9953050,9953060,9953015,53010,53020,53070,255,255,1,159,-1,-1,-1,-1,-1
6532,"自動生成聖杯【レベル5】イズ_マルチ",5,4,532,3,200,2,503000,5280,0,17,18,35,36,53,54,71,-1,53000,0,72,87,88,103,104,119,120,135,136,151,152,167,168,183,184,199,255,255,255,255,9953230,9953235,9953250,995010120,9953215,53240,-1,-1,255,255,1,159,-1,-1,-1,-1,-1
6601,"自動生成聖杯【レベル6】トゥメル_呪い",6,0,601,0,200,4,600000,0,255,255,255,255,255,255,255,255,-1,60000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993060000,993560000,996060000,995400000,991060000,60110,60120,60170,255,255,0,255,-1,-1,-1,-1,-1
6621,"自動生成聖杯【レベル6】ローラン_呪い",6,2,621,2,200,3,602000,0,255,255,255,255,255,255,255,255,-1,62000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993060000,993560000,996060000,995200000,-1,62110,62120,62170,255,255,0,255,-1,-1,-1,-1,-1
6631,"自動生成聖杯【レベル6】イズ_呪い",6,4,631,3,200,2,603000,0,255,255,255,255,255,255,255,255,-1,63000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993060000,993560000,996060000,995300000,-1,63110,63120,63170,255,255,0,255,-1,-1,-1,-1,-1
6701,"自動生成聖杯【レベル7】トゥメル_呪い",7,0,701,0,200,4,700000,0,255,255,255,255,255,255,255,255,-1,70000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995400000,991070000,70110,70120,70170,255,255,0,255,-1,-1,-1,-1,-1
6702,"自動生成聖杯【レベル7】トゥメル_マルチ",7,0,702,0,200,4,700000,0,255,255,255,255,255,255,255,255,-1,70000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995400000,991070000,70240,-1,-1,255,255,0,255,-1,-1,-1,-1,-1
6703,"自動生成聖杯【レベル7】トゥメル_ひどい呪い",7,0,703,0,200,4,700000,0,255,255,255,255,255,255,255,255,-1,70000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995400000,991070000,70310,70320,-1,255,255,0,255,-1,-1,-1,-1,-1
6721,"自動生成聖杯【レベル7】ローラン_呪い",7,2,721,2,200,3,702000,0,255,255,255,255,255,255,255,255,-1,72000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995200000,-1,72110,72120,72170,255,255,0,255,-1,-1,-1,-1,-1
6722,"自動生成聖杯【レベル7】ローラン_マルチ",7,2,722,2,200,3,702000,0,255,255,255,255,255,255,255,255,-1,72000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995200000,-1,72240,-1,-1,255,255,0,255,-1,-1,-1,-1,-1
6723,"自動生成聖杯【レベル7】ローラン_ひどい呪い",7,2,723,2,200,3,702000,0,255,255,255,255,255,255,255,255,-1,72000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995200000,-1,72310,72320,-1,255,255,0,255,-1,-1,-1,-1,-1
6731,"自動生成聖杯【レベル7】イズ_呪い",7,4,731,3,200,2,703000,0,255,255,255,255,255,255,255,255,-1,73000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995300000,-1,73110,73120,73170,255,255,0,255,-1,-1,-1,-1,-1
6732,"自動生成聖杯【レベル7】イズ_マルチ",7,4,732,3,200,2,703000,0,255,255,255,255,255,255,255,255,-1,73000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995300000,-1,73240,-1,-1,255,255,0,255,-1,-1,-1,-1,-1
6733,"自動生成聖杯【レベル7】イズ_ひどい呪い",7,4,733,3,200,2,703000,0,255,255,255,255,255,255,255,255,-1,73000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,993070000,993570000,996070000,995300000,-1,73310,73320,-1,255,255,0,255,-1,-1,-1,-1,-1
6900,"キャラデバッグ用1",1,0,0,0,1,0,0,0,255,255,255,255,255,255,255,255,29019998,10000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,-1,-1,-1,20010,9921011,-1,255,255,0,255,-1,-1,-1,-1,-1
6901,"キャラデバッグ用2",1,0,0,0,1,0,0,0,255,255,255,255,255,255,255,255,29019999,10000,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,-1,-1,-1,20010,9921011,-1,255,255,0,255,-1,-1,-1,-1,-1
