ID,Description,logicId,battleGoalID,nearDist,midDist,farDist,outDist,BackHomeLife_OnHitEneWal,goalID_ToCaution,idAttackCannotMove,goalID_ToFind,callHelp_ActionAnimId,callHelp_CallActionId,eye_dist,ear_dist,ear_soundcut_dist,nose_dist,maxBackhomeDist,backhomeDist,backhomeBattleDist,nonBattleActLife,BackHome_LookTargetTime,BackHome_LookTargetDist,SightTargetForgetTime,SoundTargetForgetTime,BattleStartDist,callHelp_MyPeerId,callHelp_CallPeerId,targetSys_DmgEffectRate,TeamAttackEffectivity,eye_angX,eye_angY,ear_angX,ear_angY,callHelp_CallValidMinDistTarget,callHelp_CallValidRange,callHelp_ForgetTimeByArrival,callHelp_MinWaitTime,callHelp_MaxWaitTime,goalAction_ToCaution,goalAction_ToFind,callHelp_ReplyBehaviorType,disablePathMove,skipArrivalVisibleCheck,thinkAttr_doAdmirer,enableNaviFlg_Edge:1,enableNaviFlg_LargeSpace:1,enableNaviFlg_Ladder:1,enableNaviFlg_Hole:1,enableNaviFlg_Door:1,enableNaviFlg_InSideWall:1,enableNaviFlg_Edge_Ordinary:1,eyeDist_forDark,battleStartDist_forDark,eyeDist_forPitchDark,battleStartDist_forPitchDark,platoonReplyTime,platoonReplyAddRandomTime,eye_BackOffsetDist,eye_BeginDist,target_ArriveDist,point_ArriveDist,changeStateAction_ToFind,changeStateAction_ToCaution,changeStateAction_ToBattle,goalAction_ToDisappear,disableLocalSteering,actTypeOnFailedPath,interestCategory,goalAction_ToInterest,goalID_ToInterest,changeStateAction_ToInterest,changeStateAction_ToNormal
540,"自動巡回テスト 歩き",1540,14000,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,-1,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
541,"自動巡回テスト 走り",1541,14000,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,-1,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
542,"自動巡回テスト スーパーダッシュ",1542,14000,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,-1,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
550,"DS2テスト 自動テスト用徘徊 (渡辺管理)",1550,15000,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,-1,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
551,"DS2テスト 自動テスト用徘徊予約 (渡辺管理)",1551,15001,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,-1,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
600,"帰巣テスト　一般兵＿剣",10000,201000,2.0,5.0,10.0,20.0,0.0,0,3000,0,-1,-1,20,10,0,0,25,20,6,5,10,20,150,150,15,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,8,7,5,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
601,"帰巣テスト　一般兵＿剣（火炎）",10000,201001,2.0,5.0,10.0,20.0,0.0,0,3000,0,-1,-1,20,10,0,0,25,20,6,5,10,20,150,150,15,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,8,7,5,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
602,"帰巣テスト　一般兵＿ボウ",10000,201003,4.0,15.0,20.0,30.0,0.0,0,3000,0,-1,-1,30,10,0,0,25,20,6,5,10,20,150,150,25,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,15,12,10,8,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
603,"帰巣テスト　騎士＿剣",10000,202000,2.0,5.0,10.0,20.0,0.0,0,3000,0,-1,-1,20,10,0,0,25,20,6,5,10,20,150,150,15,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,8,7,5,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
700,"仲間呼びテスト用乞食",10000,251000,1.5,3.5,10.0,20.0,5.0,0,3000,0,3004,3000,30,10,0,0,75,50,6,5,10,20,150,150,20,1,1,100,25,70,80,90,180,0,50,20,0,0,2,2,1,0,0,1,1,1,1,0,1,0,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
701,"仲間呼びテスト用蛇人A",10000,269000,2.0,4.0,10.0,20.0,5.0,0,3000,0,3008,3000,30,10,0,0,75,50,6,5,10,20,150,150,20,2,2,100,25,70,80,90,180,0,50,20,0,0,2,2,1,0,0,1,1,1,1,0,1,0,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
702,"仲間呼びテスト用乞食違う部屋",10000,251000,1.5,3.5,10.0,20.0,5.0,0,3000,0,3004,3000,30,10,0,0,75,50,6,5,10,20,150,150,20,3,3,100,25,70,80,90,180,0,50,20,0,0,2,2,1,0,0,1,1,1,1,0,1,0,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6050,"避難所の盲人",11000,11000,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6060,"診療所の女医",250000,250000,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6070,"ニセ女医",10000,6070,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6080,"偏屈な老人",11000,11000,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6090,"孤独な老婆",11000,11000,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6100,"感染者の乞食",10000,6100,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6110,"娼婦",11000,11000,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6140,"囚われの尼僧",10000,6140,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,10,75,50,6,5,10,20,300,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,2,0,0,0
6150,"血族狩り（車輪）",10000,6150,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6151,"血族狩り（剣槌）",10000,6151,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6152,"血族狩り（剣槌/共闘ver）_聖B",6151,6151,2.0,3.5,10.0,40.0,0.0,0,-1,0,0,0,40,0,0,0,9999,9998,9999,5,10,20,300,150,25,0,0,100,50,15,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,1,20,12,13,9,0.0,0.0,3,3,1.0,1.0,0,0,0,3,0,2,100,3,0,0,0
6153,"血族狩り（剣槌/共闘ver）_廃墟",6151,6151,2.0,3.5,10.0,40.0,0.0,0,-1,0,0,0,40,0,0,0,9999,9998,9999,5,10,20,300,150,25,0,0,100,50,15,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,1,20,12,13,9,0.0,0.0,3,3,1.0,1.0,0,0,0,3,0,0,100,3,0,0,0
6160,"復讐者",10000,6160,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,75,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,38,7,25,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6161,"復讐者（闇落ち）",10000,6160,2.0,3.5,10.0,20.0,0.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,75,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,38,7,25,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6162,"復讐者（ヘンリック共闘）",10000,6160,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,100,9999,9998,9999,5,10,20,150,150,100,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,100,7,100,0.0,0.0,3,3,1.0,1.0,0,0,0,3,0,2,100,3,0,0,0
6163,"復讐者（ヘンリック共闘撃破）",10000,6160,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6200,"クモ男パッチ",10000,111000,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6220,"娼婦の赤子",10000,252000,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6300,"廃墟　スナイパー",10000,6300,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,180,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,0,0,1.0,1.0,0,0,0,2,0,0,100,3,0,0,0
6301,"古狩人デュラ（共闘）",6301,6301,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,180,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,0,0,1.0,1.0,0,0,0,2,0,0,100,3,0,0,0
6310,"廃墟　ハンター",10000,6310,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,50,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
6340,"生贄のNPC１",10000,6340,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,33,30,45,90,180,0,0,0,0,0,2,3,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,3,0,2,100,3,0,0,0
6350,"生贄のNPC２",10000,6350,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,33,30,45,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
