ID,Description,speffectId,categoryId,effectRank,rankMin,rankMax,disposalPrice,gemIconIdOffset,sortId:14,sortCategory:2,gemNameIdOffset,speffectId_forAtk
1025,状態異常攻撃力【出血】固定値+100,-1,200,1,0,100,10,26,0,0,26,38620
1026,カウンターダメージ倍率+10%,39620,200,1,0,100,10,27,0,0,27,-1
1027,攻撃時スタミナ消費-10%,40620,200,1,0,100,10,28,0,0,28,-1
1028,攻撃力【溜め】倍率+10%,42620,200,1,0,100,10,29,0,0,29,-1
1029,HPリジェネ+10,43620,200,1,0,100,10,30,0,0,30,-1
1030,リゲイン回復量+10,45620,200,1,0,100,10,31,0,0,31,-1
1031,武器耐久度】+10,46620,200,1,0,100,10,32,0,0,32,-1
1032,攻撃力【物理】【HP最大時】固定値+100,48620,200,1,0,100,10,33,0,0,33,-1
1033,攻撃力【物理】【HP瀕死時】固定値+100,49620,200,1,0,100,10,34,0,0,34,-1
1034,攻撃力【物理】【他PCボス撃破配信】固定値+100,50620,200,1,0,100,10,35,0,0,35,-1
1035,攻撃力【全】【HP最大時】固定値+100,51620,200,1,0,100,10,36,0,0,36,-1
1036,攻撃力【全】【HP瀕死時】固定値+100,52620,200,1,0,100,10,37,0,0,37,-1
1037,攻撃力【全】【他PCボス撃破配信】+100,53620,200,1,0,100,10,38,0,0,38,-1
1038,HPリジェネ【物理】【HP最大時】+10,54620,200,1,0,100,10,39,0,0,39,-1
1039,HPリジェネ【物理】【HP瀕死時】+10,55620,200,1,0,100,10,40,0,0,40,-1
1040,HPリジェネ【物理】【他PCボス撃破配信】+10,56620,200,1,0,100,10,41,0,0,41,-1
1041,攻撃音消去,59000,200,1,0,100,10,42,0,0,42,-1
1042,最大HP（倍率）+10%,103002,200,1,0,100,10,43,0,0,43,-1
1043,最大弾丸所持数+10,136004,200,1,0,100,10,44,0,0,44,-1
1044,最大スタミナ+10%,105002,200,1,0,100,10,45,0,0,45,-1
1045,魔法属性変換,-1,200,1,0,100,10,46,0,0,46,-1
1046,炎属性変換,-1,200,1,0,100,10,47,0,0,47,-1
1047,雷属性変換,-1,200,1,0,100,10,48,0,0,48,-1
1100,攻撃力【全】倍率-10%,28620,200,1,0,100,-10,0,0,0,0,-1
1101,特攻【獣】倍率-10%,34620,200,1,0,100,-10,0,0,0,0,-1
1102,特攻【月】倍率-10%,36620,200,1,0,100,-10,0,0,0,0,-1
1103,攻撃時スタミナ消費+10%,41620,200,1,0,100,-10,0,0,0,0,-1
1104,HPリジェネ-10,43620,200,1,0,100,-10,0,0,0,0,-1
1105,武器耐久度-10,47620,200,1,0,100,-10,0,0,0,0,-1
1106,攻撃時HPダメージ-10,57620,200,1,0,100,-10,0,0,0,0,-1
1107,最大HP（倍率）-10%,104620,200,1,0,100,-10,0,0,0,0,-1
1108,最大スタミナ（倍率）-10%,106620,200,1,0,100,-10,0,0,0,0,-1
1109,最大弾丸所持数-10,137004,200,1,0,100,-10,0,0,0,0,-1
1200,取得ソウル量+10%,100002,200,1,0,100,10,0,0,0,0,-1
1201,アイテムドロップ率+10%,102002,200,1,0,100,10,0,0,0,0,-1
1202,最大HP（倍率）+10%,103002,200,1,0,100,10,0,0,0,0,-1
1203,最大スタミナ+10%,105002,200,1,0,100,10,0,0,0,0,-1
1204,投げ【ダメージ】+10%,107002,200,1,0,100,10,0,0,0,0,-1
1205,投げ【HP回復】+10,108002,200,1,0,100,10,0,0,0,0,-1
1206,投げ【MP回復】+10,109002,200,1,0,100,10,0,0,0,0,-1
1207,投げ【ソウル取得】+10%,-1,200,1,0,100,10,0,0,0,0,-1
1208,投げ【状態異常回復】,114002,200,1,0,100,10,0,0,0,0,-1
1209,ダメージカット【斬撃】+10%,115002,200,1,0,100,10,0,0,0,0,-1
1210,ダメージカット【打撃】+10%,116002,200,1,0,100,10,0,0,0,0,-1
1211,ダメージカット【刺突】+10%,117002,200,1,0,100,10,0,0,0,0,-1
1212,ダメージカット【銃】+10%,118002,200,1,0,100,10,0,0,0,0,-1
1213,ダメージカット【炎】+10%,119002,200,1,0,100,10,0,0,0,0,-1
1214,ダメージカット【魔法】+10%,120002,200,1,0,100,10,0,0,0,0,-1
1215,ダメージカット【雷】+10%,121002,200,1,0,100,10,0,0,0,0,-1
1216,ダメージカット【物理】+10%,122002,200,1,0,100,10,0,0,0,0,-1
1217,ダメージカット【全】+10%,123002,200,1,0,100,10,0,0,0,0,-1
1218,耐性値【毒】+10,125002,200,1,0,100,10,0,0,0,0,-1
1219,耐性値【出血】+10,126002,200,1,0,100,10,0,0,0,0,-1
1220,耐性値【狂気】+10,127002,200,1,0,100,10,0,0,0,0,-1
1221,耐性値【全】+10,128002,200,1,0,100,10,0,0,0,0,-1
1222,獣化値+10,129002,200,1,0,100,10,0,0,0,0,-1
1223,エスト効果量+10%,132002,200,1,0,100,10,0,0,0,0,-1
1224,エスト所持上限+10,134004,200,1,0,100,10,0,0,0,0,-1
1225,スタミナ回復速度+10,138002,200,1,0,100,10,0,0,0,0,-1
1226,着地軽減（倍率）-10%,140002,200,1,0,100,10,0,0,0,0,-1
1227,最大所持弾丸+10,136004,200,1,0,100,10,0,0,0,0,-1
1300,取得ソウル量-10%,101002,200,1,0,100,-10,0,0,0,0,-1
1301,最大HP（倍率）-10%,104620,200,1,0,100,-10,0,0,0,0,-1
1302,最大スタミナ-10%,106620,200,1,0,100,-10,0,0,0,0,-1
1303,ダメージカット【炎】-10%,120002,200,1,0,100,-10,0,0,0,0,-1
1304,ダメージカット【全】-10%,124002,200,1,0,100,-10,0,0,0,0,-1
1305,耐性値【全】-10,-1,200,1,0,100,-10,0,0,0,0,-1
1306,エスト効果量-10%,133002,200,1,0,100,-10,0,0,0,0,-1
1307,エスト所持上限-10,135004,200,1,0,100,-10,0,0,0,0,-1
1308,スタミナ回復速度-10,139002,200,1,0,100,-10,0,0,0,0,-1
1309,最大所持弾丸-10,137004,200,1,0,100,-10,0,0,0,0,-1
10101,攻撃力【斬撃】固定値+ cost1 rank1,10101,10100,1,0,100,10,0,2201,0,0,-1
10102,攻撃力【斬撃】固定値+ cost1 rank2,10102,10100,2,0,100,20,0,2207,0,0,-1
10103,攻撃力【斬撃】固定値+ cost1 rank3,10103,10100,3,0,100,30,0,2213,0,0,-1
10104,攻撃力【斬撃】固定値+ cost1 rank4,10104,10100,4,0,100,40,0,2219,0,0,-1
10105,攻撃力【斬撃】固定値+ cost1 rank5,10105,10100,5,0,100,50,1,2225,0,1,-1
10106,攻撃力【斬撃】固定値+ cost1 rank6,10106,10100,6,0,100,60,1,2231,0,1,-1
10107,攻撃力【斬撃】固定値+ cost1 rank7,10107,10100,7,0,100,70,1,2237,0,1,-1
10108,攻撃力【斬撃】固定値+ cost1 rank8,10108,10100,8,0,100,80,2,2243,0,2,-1
10109,攻撃力【斬撃】固定値+ cost1 rank9,10109,10100,9,0,100,90,2,2249,0,2,-1
10110,攻撃力【斬撃】固定値+ cost1 rank10,10110,10100,10,0,100,100,2,2255,0,2,-1
10111,攻撃力【斬撃】固定値+ cost1 rank11,10111,10100,11,0,100,110,3,2261,0,3,-1
10112,攻撃力【斬撃】固定値+ cost1 rank12,10112,10100,12,0,100,120,3,2267,0,3,-1
10113,攻撃力【斬撃】固定値+ cost1 rank13,10113,10100,13,0,100,130,3,2273,0,3,-1
10114,攻撃力【斬撃】固定値+ cost1 rank14,10114,10100,14,0,100,140,4,2279,0,4,-1
10115,攻撃力【斬撃】固定値+ cost1 rank15,10115,10100,15,0,100,150,4,2285,0,4,-1
10116,攻撃力【斬撃】固定値+ cost1 rank16,10116,10100,16,0,100,160,4,2291,0,4,-1
10117,攻撃力【斬撃】固定値+ cost1 rank17,10117,10100,17,0,100,170,5,2297,0,5,-1
10118,攻撃力【斬撃】固定値+ cost1 rank18,10118,10100,18,0,100,180,5,2303,0,5,-1
10119,攻撃力【斬撃】固定値+ cost1 rank19,10119,10100,19,0,100,190,5,2309,0,5,-1
10120,攻撃力【斬撃】固定値+ cost1 rank20,10120,10100,20,0,100,200,6,2315,0,6,-1
10201,攻撃力【斬撃】固定値+ cost2 rank1,10201,10200,1,0,100,20,0,2202,0,0,-1
10202,攻撃力【斬撃】固定値+ cost2 rank2,10202,10200,2,0,100,40,0,2208,0,0,-1
10203,攻撃力【斬撃】固定値+ cost2 rank3,10203,10200,3,0,100,60,0,2214,0,0,-1
10204,攻撃力【斬撃】固定値+ cost2 rank4,10204,10200,4,0,100,80,0,2220,0,0,-1
10205,攻撃力【斬撃】固定値+ cost2 rank5,10205,10200,5,0,100,100,1,2226,0,1,-1
10206,攻撃力【斬撃】固定値+ cost2 rank6,10206,10200,6,0,100,120,1,2232,0,1,-1
10207,攻撃力【斬撃】固定値+ cost2 rank7,10207,10200,7,0,100,140,1,2238,0,1,-1
10208,攻撃力【斬撃】固定値+ cost2 rank8,10208,10200,8,0,100,160,2,2244,0,2,-1
10209,攻撃力【斬撃】固定値+ cost2 rank9,10209,10200,9,0,100,180,2,2250,0,2,-1
10210,攻撃力【斬撃】固定値+ cost2 rank10,10210,10200,10,0,100,200,2,2256,0,2,-1
10211,攻撃力【斬撃】固定値+ cost2 rank11,10211,10200,11,0,100,220,3,2262,0,3,-1
10212,攻撃力【斬撃】固定値+ cost2 rank12,10212,10200,12,0,100,240,3,2268,0,3,-1
10213,攻撃力【斬撃】固定値+ cost2 rank13,10213,10200,13,0,100,260,3,2274,0,3,-1
10214,攻撃力【斬撃】固定値+ cost2 rank14,10214,10200,14,0,100,280,4,2280,0,4,-1
10215,攻撃力【斬撃】固定値+ cost2 rank15,10215,10200,15,0,100,300,4,2286,0,4,-1
10216,攻撃力【斬撃】固定値+ cost2 rank16,10216,10200,16,0,100,320,4,2292,0,4,-1
10217,攻撃力【斬撃】固定値+ cost2 rank17,10217,10200,17,0,100,340,5,2298,0,5,-1
10218,攻撃力【斬撃】固定値+ cost2 rank18,10218,10200,18,0,100,360,5,2304,0,5,-1
10219,攻撃力【斬撃】固定値+ cost2 rank19,10219,10200,19,0,100,380,5,2310,0,5,-1
10220,攻撃力【斬撃】固定値+ cost2 rank20,10220,10200,20,0,100,400,6,2316,0,6,-1
10301,攻撃力【斬撃】固定値+ cost3 rank1,10301,10300,1,0,100,30,0,2203,0,0,-1
10302,攻撃力【斬撃】固定値+ cost3 rank2,10302,10300,2,0,100,60,0,2209,0,0,-1
10303,攻撃力【斬撃】固定値+ cost3 rank3,10303,10300,3,0,100,90,0,2215,0,0,-1
10304,攻撃力【斬撃】固定値+ cost3 rank4,10304,10300,4,0,100,120,0,2221,0,0,-1
10305,攻撃力【斬撃】固定値+ cost3 rank5,10305,10300,5,0,100,150,1,2227,0,1,-1
10306,攻撃力【斬撃】固定値+ cost3 rank6,10306,10300,6,0,100,180,1,2233,0,1,-1
10307,攻撃力【斬撃】固定値+ cost3 rank7,10307,10300,7,0,100,210,1,2239,0,1,-1
10308,攻撃力【斬撃】固定値+ cost3 rank8,10308,10300,8,0,100,240,2,2245,0,2,-1
10309,攻撃力【斬撃】固定値+ cost3 rank9,10309,10300,9,0,100,270,2,2251,0,2,-1
10310,攻撃力【斬撃】固定値+ cost3 rank10,10310,10300,10,0,100,300,2,2257,0,2,-1
10311,攻撃力【斬撃】固定値+ cost3 rank11,10311,10300,11,0,100,330,3,2263,0,3,-1
10312,攻撃力【斬撃】固定値+ cost3 rank12,10312,10300,12,0,100,360,3,2269,0,3,-1
10313,攻撃力【斬撃】固定値+ cost3 rank13,10313,10300,13,0,100,390,3,2275,0,3,-1
10314,攻撃力【斬撃】固定値+ cost3 rank14,10314,10300,14,0,100,420,4,2281,0,4,-1
10315,攻撃力【斬撃】固定値+ cost3 rank15,10315,10300,15,0,100,450,4,2287,0,4,-1
10316,攻撃力【斬撃】固定値+ cost3 rank16,10316,10300,16,0,100,480,4,2293,0,4,-1
10317,攻撃力【斬撃】固定値+ cost3 rank17,10317,10300,17,0,100,510,5,2299,0,5,-1
10318,攻撃力【斬撃】固定値+ cost3 rank18,10318,10300,18,0,100,540,5,2305,0,5,-1
10319,攻撃力【斬撃】固定値+ cost3 rank19,10319,10300,19,0,100,570,5,2311,0,5,-1
10320,攻撃力【斬撃】固定値+ cost3 rank20,10320,10300,20,0,100,600,6,2317,0,6,-1
10401,攻撃力【斬撃】固定値+ cost4 rank1,10401,10400,1,0,100,40,0,2204,0,0,-1
10402,攻撃力【斬撃】固定値+ cost4 rank2,10402,10400,2,0,100,80,0,2210,0,0,-1
10403,攻撃力【斬撃】固定値+ cost4 rank3,10403,10400,3,0,100,120,0,2216,0,0,-1
10404,攻撃力【斬撃】固定値+ cost4 rank4,10404,10400,4,0,100,160,0,2222,0,0,-1
10405,攻撃力【斬撃】固定値+ cost4 rank5,10405,10400,5,0,100,200,1,2228,0,1,-1
10406,攻撃力【斬撃】固定値+ cost4 rank6,10406,10400,6,0,100,240,1,2234,0,1,-1
10407,攻撃力【斬撃】固定値+ cost4 rank7,10407,10400,7,0,100,280,1,2240,0,1,-1
10408,攻撃力【斬撃】固定値+ cost4 rank8,10408,10400,8,0,100,320,2,2246,0,2,-1
10409,攻撃力【斬撃】固定値+ cost4 rank9,10409,10400,9,0,100,360,2,2252,0,2,-1
10410,攻撃力【斬撃】固定値+ cost4 rank10,10410,10400,10,0,100,400,2,2258,0,2,-1
10411,攻撃力【斬撃】固定値+ cost4 rank11,10411,10400,11,0,100,440,3,2264,0,3,-1
10412,攻撃力【斬撃】固定値+ cost4 rank12,10412,10400,12,0,100,480,3,2270,0,3,-1
10413,攻撃力【斬撃】固定値+ cost4 rank13,10413,10400,13,0,100,520,3,2276,0,3,-1
10414,攻撃力【斬撃】固定値+ cost4 rank14,10414,10400,14,0,100,560,4,2282,0,4,-1
10415,攻撃力【斬撃】固定値+ cost4 rank15,10415,10400,15,0,100,600,4,2288,0,4,-1
10416,攻撃力【斬撃】固定値+ cost4 rank16,10416,10400,16,0,100,640,4,2294,0,4,-1
10417,攻撃力【斬撃】固定値+ cost4 rank17,10417,10400,17,0,100,680,5,2300,0,5,-1
10418,攻撃力【斬撃】固定値+ cost4 rank18,10418,10400,18,0,100,720,5,2306,0,5,-1
10419,攻撃力【斬撃】固定値+ cost4 rank19,10419,10400,19,0,100,760,5,2312,0,5,-1
10420,攻撃力【斬撃】固定値+ cost4 rank20,10420,10400,20,0,100,800,6,2318,0,6,-1
10501,攻撃力【斬撃】固定値+ cost5 rank1,10501,10500,1,0,100,50,0,2205,0,0,-1
10502,攻撃力【斬撃】固定値+ cost5 rank2,10502,10500,2,0,100,100,0,2211,0,0,-1
10503,攻撃力【斬撃】固定値+ cost5 rank3,10503,10500,3,0,100,150,0,2217,0,0,-1
10504,攻撃力【斬撃】固定値+ cost5 rank4,10504,10500,4,0,100,200,0,2223,0,0,-1
10505,攻撃力【斬撃】固定値+ cost5 rank5,10505,10500,5,0,100,250,1,2229,0,1,-1
10506,攻撃力【斬撃】固定値+ cost5 rank6,10506,10500,6,0,100,300,1,2235,0,1,-1
10507,攻撃力【斬撃】固定値+ cost5 rank7,10507,10500,7,0,100,350,1,2241,0,1,-1
10508,攻撃力【斬撃】固定値+ cost5 rank8,10508,10500,8,0,100,400,2,2247,0,2,-1
10509,攻撃力【斬撃】固定値+ cost5 rank9,10509,10500,9,0,100,450,2,2253,0,2,-1
10510,攻撃力【斬撃】固定値+ cost5 rank10,10510,10500,10,0,100,500,2,2259,0,2,-1
10511,攻撃力【斬撃】固定値+ cost5 rank11,10511,10500,11,0,100,550,3,2265,0,3,-1
10512,攻撃力【斬撃】固定値+ cost5 rank12,10512,10500,12,0,100,600,3,2271,0,3,-1
10513,攻撃力【斬撃】固定値+ cost5 rank13,10513,10500,13,0,100,650,3,2277,0,3,-1
10514,攻撃力【斬撃】固定値+ cost5 rank14,10514,10500,14,0,100,700,4,2283,0,4,-1
10515,攻撃力【斬撃】固定値+ cost5 rank15,10515,10500,15,0,100,750,4,2289,0,4,-1
10516,攻撃力【斬撃】固定値+ cost5 rank16,10516,10500,16,0,100,800,4,2295,0,4,-1
10517,攻撃力【斬撃】固定値+ cost5 rank17,10517,10500,17,0,100,850,5,2301,0,5,-1
10518,攻撃力【斬撃】固定値+ cost5 rank18,10518,10500,18,0,100,900,5,2307,0,5,-1
10519,攻撃力【斬撃】固定値+ cost5 rank19,10519,10500,19,0,100,950,5,2313,0,5,-1
10520,攻撃力【斬撃】固定値+ cost5 rank20,10520,10500,20,0,100,1000,6,2319,0,6,-1
10601,攻撃力【斬撃】固定値+ cost6 rank1,10601,10600,1,0,100,60,0,2206,0,0,-1
10602,攻撃力【斬撃】固定値+ cost6 rank2,10602,10600,2,0,100,120,0,2212,0,0,-1
10603,攻撃力【斬撃】固定値+ cost6 rank3,10603,10600,3,0,100,180,0,2218,0,0,-1
10604,攻撃力【斬撃】固定値+ cost6 rank4,10604,10600,4,0,100,240,0,2224,0,0,-1
10605,攻撃力【斬撃】固定値+ cost6 rank5,10605,10600,5,0,100,300,1,2230,0,1,-1
10606,攻撃力【斬撃】固定値+ cost6 rank6,10606,10600,6,0,100,360,1,2236,0,1,-1
10607,攻撃力【斬撃】固定値+ cost6 rank7,10607,10600,7,0,100,420,1,2242,0,1,-1
10608,攻撃力【斬撃】固定値+ cost6 rank8,10608,10600,8,0,100,480,2,2248,0,2,-1
10609,攻撃力【斬撃】固定値+ cost6 rank9,10609,10600,9,0,100,540,2,2254,0,2,-1
10610,攻撃力【斬撃】固定値+ cost6 rank10,10610,10600,10,0,100,600,2,2260,0,2,-1
10611,攻撃力【斬撃】固定値+ cost6 rank11,10611,10600,11,0,100,660,3,2266,0,3,-1
10612,攻撃力【斬撃】固定値+ cost6 rank12,10612,10600,12,0,100,720,3,2272,0,3,-1
10613,攻撃力【斬撃】固定値+ cost6 rank13,10613,10600,13,0,100,780,3,2278,0,3,-1
10614,攻撃力【斬撃】固定値+ cost6 rank14,10614,10600,14,0,100,840,4,2284,0,4,-1
10615,攻撃力【斬撃】固定値+ cost6 rank15,10615,10600,15,0,100,900,4,2290,0,4,-1
10616,攻撃力【斬撃】固定値+ cost6 rank16,10616,10600,16,0,100,960,4,2296,0,4,-1
10617,攻撃力【斬撃】固定値+ cost6 rank17,10617,10600,17,0,100,1020,5,2302,0,5,-1
10618,攻撃力【斬撃】固定値+ cost6 rank18,10618,10600,18,0,100,1080,5,2308,0,5,-1
10619,攻撃力【斬撃】固定値+ cost6 rank19,10619,10600,19,0,100,1140,5,2314,0,5,-1
10620,攻撃力【斬撃】固定値+ cost6 rank20,10620,10600,20,0,100,1200,6,2320,0,6,-1
11101,攻撃力【打撃】固定値+ cost1 rank1,11101,20100,1,0,100,10,0,2401,0,100,-1
11102,攻撃力【打撃】固定値+ cost1 rank2,11102,20100,2,0,100,20,0,2407,0,100,-1
11103,攻撃力【打撃】固定値+ cost1 rank3,11103,20100,3,0,100,30,0,2413,0,100,-1
11104,攻撃力【打撃】固定値+ cost1 rank4,11104,20100,4,0,100,40,0,2419,0,100,-1
11105,攻撃力【打撃】固定値+ cost1 rank5,11105,20100,5,0,100,50,1,2425,0,101,-1
11106,攻撃力【打撃】固定値+ cost1 rank6,11106,20100,6,0,100,60,1,2431,0,101,-1
11107,攻撃力【打撃】固定値+ cost1 rank7,11107,20100,7,0,100,70,1,2437,0,101,-1
11108,攻撃力【打撃】固定値+ cost1 rank8,11108,20100,8,0,100,80,2,2443,0,102,-1
11109,攻撃力【打撃】固定値+ cost1 rank9,11109,20100,9,0,100,90,2,2449,0,102,-1
11110,攻撃力【打撃】固定値+ cost1 rank10,11110,20100,10,0,100,100,2,2455,0,102,-1
11111,攻撃力【打撃】固定値+ cost1 rank11,11111,20100,11,0,100,110,3,2461,0,103,-1
11112,攻撃力【打撃】固定値+ cost1 rank12,11112,20100,12,0,100,120,3,2467,0,103,-1
11113,攻撃力【打撃】固定値+ cost1 rank13,11113,20100,13,0,100,130,3,2473,0,103,-1
11114,攻撃力【打撃】固定値+ cost1 rank14,11114,20100,14,0,100,140,4,2479,0,104,-1
11115,攻撃力【打撃】固定値+ cost1 rank15,11115,20100,15,0,100,150,4,2485,0,104,-1
11116,攻撃力【打撃】固定値+ cost1 rank16,11116,20100,16,0,100,160,4,2491,0,104,-1
11117,攻撃力【打撃】固定値+ cost1 rank17,11117,20100,17,0,100,170,5,2497,0,105,-1
11118,攻撃力【打撃】固定値+ cost1 rank18,11118,20100,18,0,100,180,5,2503,0,105,-1
11119,攻撃力【打撃】固定値+ cost1 rank19,11119,20100,19,0,100,190,5,2509,0,105,-1
11120,攻撃力【打撃】固定値+ cost1 rank20,11120,20100,20,0,100,200,6,2515,0,106,-1
11201,攻撃力【打撃】固定値+ cost2 rank1,11201,20200,1,0,100,20,0,2402,0,100,-1
11202,攻撃力【打撃】固定値+ cost2 rank2,11202,20200,2,0,100,40,0,2408,0,100,-1
11203,攻撃力【打撃】固定値+ cost2 rank3,11203,20200,3,0,100,60,0,2414,0,100,-1
11204,攻撃力【打撃】固定値+ cost2 rank4,11204,20200,4,0,100,80,0,2420,0,100,-1
11205,攻撃力【打撃】固定値+ cost2 rank5,11205,20200,5,0,100,100,1,2426,0,101,-1
11206,攻撃力【打撃】固定値+ cost2 rank6,11206,20200,6,0,100,120,1,2432,0,101,-1
11207,攻撃力【打撃】固定値+ cost2 rank7,11207,20200,7,0,100,140,1,2438,0,101,-1
11208,攻撃力【打撃】固定値+ cost2 rank8,11208,20200,8,0,100,160,2,2444,0,102,-1
11209,攻撃力【打撃】固定値+ cost2 rank9,11209,20200,9,0,100,180,2,2450,0,102,-1
11210,攻撃力【打撃】固定値+ cost2 rank10,11210,20200,10,0,100,200,2,2456,0,102,-1
11211,攻撃力【打撃】固定値+ cost2 rank11,11211,20200,11,0,100,220,3,2462,0,103,-1
11212,攻撃力【打撃】固定値+ cost2 rank12,11212,20200,12,0,100,240,3,2468,0,103,-1
11213,攻撃力【打撃】固定値+ cost2 rank13,11213,20200,13,0,100,260,3,2474,0,103,-1
11214,攻撃力【打撃】固定値+ cost2 rank14,11214,20200,14,0,100,280,4,2480,0,104,-1
11215,攻撃力【打撃】固定値+ cost2 rank15,11215,20200,15,0,100,300,4,2486,0,104,-1
11216,攻撃力【打撃】固定値+ cost2 rank16,11216,20200,16,0,100,320,4,2492,0,104,-1
11217,攻撃力【打撃】固定値+ cost2 rank17,11217,20200,17,0,100,340,5,2498,0,105,-1
11218,攻撃力【打撃】固定値+ cost2 rank18,11218,20200,18,0,100,360,5,2504,0,105,-1
11219,攻撃力【打撃】固定値+ cost2 rank19,11219,20200,19,0,100,380,5,2510,0,105,-1
11220,攻撃力【打撃】固定値+ cost2 rank20,11220,20200,20,0,100,400,6,2516,0,106,-1
11301,攻撃力【打撃】固定値+ cost3 rank1,11301,20300,1,0,100,30,0,2403,0,100,-1
11302,攻撃力【打撃】固定値+ cost3 rank2,11302,20300,2,0,100,60,0,2409,0,100,-1
11303,攻撃力【打撃】固定値+ cost3 rank3,11303,20300,3,0,100,90,0,2415,0,100,-1
11304,攻撃力【打撃】固定値+ cost3 rank4,11304,20300,4,0,100,120,0,2421,0,100,-1
11305,攻撃力【打撃】固定値+ cost3 rank5,11305,20300,5,0,100,150,1,2427,0,101,-1
11306,攻撃力【打撃】固定値+ cost3 rank6,11306,20300,6,0,100,180,1,2433,0,101,-1
11307,攻撃力【打撃】固定値+ cost3 rank7,11307,20300,7,0,100,210,1,2439,0,101,-1
11308,攻撃力【打撃】固定値+ cost3 rank8,11308,20300,8,0,100,240,2,2445,0,102,-1
11309,攻撃力【打撃】固定値+ cost3 rank9,11309,20300,9,0,100,270,2,2451,0,102,-1
11310,攻撃力【打撃】固定値+ cost3 rank10,11310,20300,10,0,100,300,2,2457,0,102,-1
11311,攻撃力【打撃】固定値+ cost3 rank11,11311,20300,11,0,100,330,3,2463,0,103,-1
11312,攻撃力【打撃】固定値+ cost3 rank12,11312,20300,12,0,100,360,3,2469,0,103,-1
11313,攻撃力【打撃】固定値+ cost3 rank13,11313,20300,13,0,100,390,3,2475,0,103,-1
11314,攻撃力【打撃】固定値+ cost3 rank14,11314,20300,14,0,100,420,4,2481,0,104,-1
11315,攻撃力【打撃】固定値+ cost3 rank15,11315,20300,15,0,100,450,4,2487,0,104,-1
11316,攻撃力【打撃】固定値+ cost3 rank16,11316,20300,16,0,100,480,4,2493,0,104,-1
11317,攻撃力【打撃】固定値+ cost3 rank17,11317,20300,17,0,100,510,5,2499,0,105,-1
