ID,Description,isUnique:1,gemNameIdOffset,disableSlotRateModify:1,slotTypeRateA,slotTypeRateB,slotTypeRateC,slotTypeRateD,slotTypeRateE,slotTypeRateF,gemRankDoping,gemeffectGenParamType_0,gemeffectGenParam_0,manifestRate_0,negativizeRate_0,gemeffectGenParamType_1,gemeffectGenParam_1,manifestRate_1,negativizeRate_1,gemeffectGenParamType_2,gemeffectGenParam_2,manifestRate_2,negativizeRate_2,gemeffectGenParamType_3,gemeffectGenParam_3,manifestRate_3,negativizeRate_3,gemeffectGenParamType_4,gemeffectGenParam_4,manifestRate_4,negativizeRate_4,gemeffectGenParamType_5,gemeffectGenParam_5,manifestRate_5,negativizeRate_5,equipableSegmentBody:1,equipableSegmentWeapon:1,unremovable:1,isGuestDrop:1
13,【テスト】エラーBJ,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0,1,-1,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,1,0,0
20,【テスト】ザコ魔石,0,0,0,100.0,100.0,100.0,-1.0,-1.0,100.0,0,0,0,100.0,0.0,0,0,100.0,0.0,0,0,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
30,【テスト】強敵魔石,0,0,0,100.0,100.0,100.0,-1.0,-1.0,100.0,0,3,10000,100.0,0.0,0,0,100.0,0.0,0,0,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
31,【デバッグ用】溜め効果魔石,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,42520,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
50,【テスト】排他グループテスト用,0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,100,100.0,0.0,4,101,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
51,【テスト】カテゴリ間相性テスト用,0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,110,100.0,0.0,4,111,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
52,【テスト】聖杯タイプ影響テスト用,0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4,130,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
53,【テスト】カテゴリグループテスト用,0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,110,100.0,0.0,4,111,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
54,【テスト】取り外し不可テスト用　（取り外し可）,0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,1000,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
55,【テスト】取り外し不可テスト用　（取り外し不可）,0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,1029,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,1,0
56,【テスト】魔石引換券販売テスト,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1000,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
57,【テスト】ボディジェム引換券販売テスト,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1200,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
60,【テスト】魔石販売価格テスト_魔石00,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1000,100.0,0.0,1,1001,100.0,0.0,1,1002,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
61,【テスト】魔石販売価格テスト_魔石01,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1000,100.0,0.0,1,1001,100.0,0.0,1,1100,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
62,【テスト】魔石販売価格テスト_魔石02,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1102,100.0,0.0,1,1101,100.0,0.0,1,1100,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
63,【テスト】魔石販売価格テスト_ボディ00,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1000,100.0,0.0,1,1001,100.0,0.0,1,1002,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
64,【テスト】魔石販売価格テスト_ボディ01,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1000,100.0,0.0,1,1001,100.0,0.0,1,1100,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
65,【テスト】魔石販売価格テスト_ボディ02,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,1102,100.0,0.0,1,1101,100.0,0.0,1,1100,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
66,【テスト】魔石ソートテスト_魔石00,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,210,100.0,0.0,1,211,100.0,0.0,1,212,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
67,【テスト】魔石ソートテスト_魔石01,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,211,100.0,0.0,1,212,100.0,0.0,1,210,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
68,【テスト】魔石ソートテスト_魔石02,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,212,100.0,0.0,1,211,100.0,0.0,1,210,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
69,【テスト】魔石ソートテスト_魔石03,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,212,100.0,0.0,1,210,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
70,【テスト】魔石ソートテスト_ボディ00,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,210,100.0,0.0,1,211,100.0,0.0,1,212,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
71,【テスト】魔石ソートテスト_ボディ01,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,211,100.0,0.0,1,212,100.0,0.0,1,210,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
72,【テスト】魔石ソートテスト_ボディ02,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,212,100.0,0.0,1,211,100.0,0.0,1,210,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
73,【テスト】魔石ソートテスト_ボディ03,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,1,212,100.0,0.0,1,210,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
74,【テスト】魔石出現ランク範囲テスト,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,2,10100,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
100,魔石効果テスト_プラス効果_攻撃力【斬撃】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
101,魔石効果テスト_プラス効果_攻撃力【打撃】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
102,魔石効果テスト_プラス効果_攻撃力【刺突】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
103,魔石効果テスト_プラス効果_攻撃力【銃】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,40600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
104,魔石効果テスト_プラス効果_攻撃力【魔法】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,50600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
105,魔石効果テスト_プラス効果_攻撃力【炎】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,60600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
106,魔石効果テスト_プラス効果_攻撃力【雷】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,70600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
107,魔石効果テスト_プラス効果_攻撃力【物理】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,80600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
108,魔石効果テスト_プラス効果_攻撃力【全】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
109,魔石効果テスト_プラス効果_攻撃力【斬撃】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
110,魔石効果テスト_プラス効果_攻撃力【打撃】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,111600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
111,魔石効果テスト_プラス効果_攻撃力【刺突】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,121600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
112,魔石効果テスト_プラス効果_攻撃力【銃】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,131600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
113,魔石効果テスト_プラス効果_攻撃力【魔法】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,141600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
114,魔石効果テスト_プラス効果_攻撃力【炎】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,151600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
115,魔石効果テスト_プラス効果_攻撃力【雷】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,161600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
116,魔石効果テスト_プラス効果_攻撃力【物理】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,171600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
117,魔石効果テスト_プラス効果_攻撃力【全】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,181600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
118,魔石効果テスト_プラス効果_攻撃力補正【筋力】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,201600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
119,魔石効果テスト_プラス効果_攻撃力補正【技量】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,211600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
120,魔石効果テスト_プラス効果_攻撃力補正【射撃】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,221600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
121,魔石効果テスト_プラス効果_攻撃力補正【魔法】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,231600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
122,魔石効果テスト_プラス効果_特攻ダメージ【獣】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,241600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
123,魔石効果テスト_プラス効果_特攻ダメージ【月】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,261600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
124,魔石効果テスト_プラス効果_状態異常攻撃力【毒】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,281600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
125,魔石効果テスト_プラス効果_状態異常攻撃力【出血】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,291600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
126,魔石効果テスト_プラス効果_カウンターダメージ（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,300600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
127,魔石効果テスト_プラス効果_攻撃時スタミナ消費（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,311600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
128,魔石効果テスト_プラス効果_溜め攻撃力（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,331600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
129,魔石効果テスト_プラス効果_HPリジェネ,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,341600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
130,魔石効果テスト_プラス効果_リゲイン回復量（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,360600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
131,魔石効果テスト_プラス効果_武器耐久度（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,370600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
132,魔石効果テスト_プラス効果_攻撃力【物理】【HP最大時】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,391600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
133,魔石効果テスト_プラス効果_攻撃力【物理】【HP瀕死時】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,401600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
134,魔石効果テスト_プラス効果_攻撃力【物理】【他PCボス撃破配信】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
135,魔石効果テスト_プラス効果_攻撃力【全】【HP最大時】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,421600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
136,魔石効果テスト_プラス効果_攻撃力【全】【HP瀕死時】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,431600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
137,魔石効果テスト_プラス効果_攻撃力【全】【他PCボス撃破配信】（固定値）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
138,魔石効果テスト_プラス効果_HPリジェネ【物理】【HP最大時】,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
139,魔石効果テスト_プラス効果_HPリジェネ【物理】【HP瀕死時】,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
140,魔石効果テスト_プラス効果_HPリジェネ【物理】【他PCボス撃破配信】,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
141,魔石効果テスト_プラス効果_攻撃音消去,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
142,魔石効果テスト_プラス効果_最大HP（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
143,魔石効果テスト_プラス効果_最大MP（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
144,魔石効果テスト_プラス効果_最大スタミナ（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
145,魔石効果テスト_プラス効果_魔法属性変換,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
146,魔石効果テスト_プラス効果_炎属性変換,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
147,魔石効果テスト_プラス効果_雷属性変換,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
150,魔石効果テスト_マイナス効果_攻撃力【全】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,190600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
151,魔石効果テスト_マイナス効果_特攻ダメージ【獣】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,250600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
152,魔石効果テスト_マイナス効果_特攻ダメージ【月】（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,270600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
153,魔石効果テスト_マイナス効果_攻撃時スタミナ消費（倍率）,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0,2,320600,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
