ID,Description,wepParamId,gemSlotType_0,gemGenId_0,gemSlotType_1,gemGenId_1,gemSlotType_2,gemGenId_2,gemSlotType_3,gemGenId_3,gemSlotType_4,gemGenId_4,equipableGemSegmentMask,reserveGemSlotNo_0,reserveGemSlotNo_1,reserveGemSlotNo_2
17100,"ノコ槍＋９_LV96_基準（クリア後くらいのキャラ）",7100900,1,132000,1,126001,4,126004,2147483904,-1,2147483904,-1,1,0,0,0
17200,"ノコ槍＋１０_LV120_対戦厨（対人戦をしてる人））",7101000,1,981000,1,981000,4,981000,2147483904,-1,2147483904,-1,1,0,0,0
18000,"剣大槌＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",8000900,1,132000,2,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
18100,"剣大槌＋９_LV96_基準（クリア後くらいのキャラ）",8000900,1,132000,2,126001,1,126004,2147483904,-1,2147483904,-1,1,0,0,0
18200,"剣大槌＋１０_LV120_対戦厨（対人戦をしてる人）",8001000,1,981000,2,981000,1,981000,2147483904,-1,2147483904,-1,1,0,0,0
19000,"槌大剣＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",8100900,1,132000,1,125001,4,127004,2147483904,-1,2147483904,-1,1,0,0,0
19100,"槌大剣＋９_LV96_基準（クリア後くらいのキャラ）",8100900,1,132000,1,126001,4,126004,2147483904,-1,2147483904,-1,1,0,0,0
19200,"槌大剣＋１０_LV120_対戦厨（対人戦をしてる人）",8101000,1,981000,1,981000,4,981000,2147483904,-1,2147483904,-1,1,0,0,0
20000,"拳獣＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",9000900,1,132000,2,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
20100,"拳獣＋９_LV96_基準（クリア後くらいのキャラ）",9000900,1,132000,2,126001,1,126004,2147483904,-1,2147483904,-1,1,0,0,0
20200,"拳獣＋１０_LV120_対戦厨（対人戦をしてる人）",9001000,1,981000,2,981000,1,981000,2147483904,-1,2147483904,-1,1,0,0,0
21000,"銃槍＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",10000900,1,132000,2,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
21100,"銃槍＋９_LV96_基準（クリア後くらいのキャラ）",10000900,1,132000,2,126001,1,126004,2147483904,-1,2147483904,-1,1,0,0,0
21200,"銃槍＋１０_LV120_対戦厨（対人戦をしてる人）",10001000,1,981000,2,981000,1,981000,2147483904,-1,2147483904,-1,1,0,0,0
22000,"銃剣＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",10100900,1,132000,2,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
22100,"銃剣＋９_LV96_基準（クリア後くらいのキャラ）",10100900,1,132000,2,126001,1,126004,2147483904,-1,2147483904,-1,1,0,0,0
22200,"銃剣＋１０_LV120_対戦厨（対人戦をしてる人）",10101000,1,981000,2,981000,1,981000,2147483904,-1,2147483904,-1,1,0,0,0
23000,"パイルバンカー＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",11000900,1,132000,2,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
23100,"パイルバンカー＋９_LV96_基準（クリア後くらいのキャラ）",11000900,1,132000,2,126001,1,126004,2147483904,-1,2147483904,-1,1,0,0,0
23200,"パイルバンカー＋１０_LV120_対戦厨（対人戦をしてる人）",11001000,1,981000,2,981000,1,981000,2147483904,-1,2147483904,-1,1,0,0,0
24000,"車輪＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",12000900,1,132000,1,125001,4,127004,2147483904,-1,2147483904,-1,1,0,0,0
24100,"車輪＋９_LV96_基準（クリア後くらいのキャラ）",12000900,1,132000,1,126001,4,127004,2147483904,-1,2147483904,-1,1,0,0,0
24200,"車輪＋１０_LV120_対戦厨（対人戦をしてる人）",12001000,1,981002,1,981002,4,981002,2147483904,-1,2147483904,-1,1,0,0,0
25000,"爆発槌＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",13000900,1,132000,1,125001,4,127004,2147483904,-1,2147483904,-1,1,0,0,0
25100,"爆発槌＋９_LV96_基準（クリア後くらいのキャラ）",13000900,1,132000,1,126001,4,127004,2147483904,-1,2147483904,-1,1,0,0,0
25200,"爆発槌＋１０_LV120_対戦厨（対人戦をしてる人）",13001000,1,981002,1,981002,4,981002,2147483904,-1,2147483904,-1,1,0,0,0
26000,"工房短銃＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",14000900,8,125000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
26100,"工房短銃＋９_LV96_基準（クリア後くらいのキャラ）",14000900,8,126000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
26200,"工房短銃＋１０_LV120_対戦厨（対人戦をしてる人）",14001000,8,981001,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
27000,"ヴァンパイア短銃＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",14100900,8,125000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
27100,"ヴァンパイア短銃＋９_LV96_基準（クリア後くらいのキャラ）",14100900,8,126000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
27200,"ヴァンパイア短銃＋１０_LV120_対戦厨（対人戦をしてる人）",14101000,8,981001,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
28000,"教会短銃＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",14200900,8,125000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
28100,"教会短銃＋９_LV96_基準（クリア後くらいのキャラ）",14200900,8,126000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
28200,"教会短銃＋１０_LV120_対戦厨（対人戦をしてる人）",14201000,8,981001,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
29000,"大筒＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",15000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
29100,"大筒＋９_LV96_基準（クリア後くらいのキャラ）",15000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
29200,"大筒＋１０_LV120_対戦厨（対人戦をしてる人）",15001000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
30000,"噴霧器＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",18000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
30100,"噴霧器＋９_LV96_基準（クリア後くらいのキャラ）",18000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
30200,"噴霧器＋１０_LV120_対戦厨（対人戦をしてる人）",18001000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
31000,"噴霧器_火炎放射＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",18100900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
31100,"噴霧器_火炎放射＋９_LV96_基準（クリア後くらいのキャラ）",18100900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
31200,"噴霧器_火炎放射＋１０_LV120_対戦厨（対人戦をしてる人）",18101000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
32000,"盾一週目（最初からプレイして、現在想定のレベルのキャラ）",19000000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
33000,"属性盾一週目（最初からプレイして、現在想定のレベルのキャラ）",19100000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
34000,"狩人の松明＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",20000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
34100,"狩人の松明＋９_LV96_基準（クリア後くらいのキャラ）",20000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
34200,"狩人の松明＋１０_LV120_対戦厨（対人戦をしてる人）",20001000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
35000,"杖鞭＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",22000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
35100,"杖鞭＋９_LV96_基準（クリア後くらいのキャラ）",22000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
35200,"杖鞭＋１０_LV120_対戦厨（対人戦をしてる人）",22001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
36000,"ノコギリ曲剣＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",23000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
36100,"ノコギリ曲剣＋９_LV96_基準（クリア後くらいのキャラ）",23000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
36200,"ノコギリ曲剣＋１０_LV120_対戦厨（対人戦をしてる人）",23001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
37000,"ノコギリ鞭＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",24000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
37100,"ノコギリ鞭＋９_LV96_基準（クリア後くらいのキャラ）",24000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
37200,"ノコギリ鞭＋１０_LV120_対戦厨（対人戦をしてる人）",24001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
38000,"多関節＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",25000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
38100,"多関節＋９_LV96_基準（クリア後くらいのキャラ）",25000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
38200,"多関節＋１０_LV120_対戦厨（対人戦をしてる人）",25001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
39000,"月光剣＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",26000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
39100,"月光剣＋９_LV96_基準（クリア後くらいのキャラ）",26000900,1,132000,1,126001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
39200,"月光剣＋１０_LV120_対戦厨（対人戦をしてる人）",26001000,1,981002,1,981002,2,981002,2147483904,-1,2147483904,-1,1,0,0,0
40000,"双刃＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",27000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
40100,"双刃＋９_LV96_基準（クリア後くらいのキャラ）",27000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
40200,"双刃＋１０_LV120_対戦厨（対人戦をしてる人）",27001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
41000,"ガンハンマ＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",28000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
41100,"ガンハンマ＋９_LV96_基準（クリア後くらいのキャラ）",28000900,1,132000,1,126001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
41200,"ガンハンマ＋１０_LV120_対戦厨（対人戦をしてる人）",28001000,1,981002,1,981002,2,981002,2147483904,-1,2147483904,-1,1,0,0,0
42000,"十字メイス＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",29000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
42100,"十字メイス＋９_LV96_基準（クリア後くらいのキャラ）",29000900,1,132000,1,126001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
42200,"十字メイス＋１０_LV120_対戦厨（対人戦をしてる人）",29001000,1,981002,1,981002,2,981002,2147483904,-1,2147483904,-1,1,0,0,0
43000,"ウォーピック＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",30000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
43100,"ウォーピック＋９_LV96_基準（クリア後くらいのキャラ）",30000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
43200,"ウォーピック＋１０_LV120_対戦厨（対人戦をしてる人）",30001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
44000,"丸鋸チェンソー＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",31000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
44100,"丸鋸チェンソー＋９_LV96_基準（クリア後くらいのキャラ）",31000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
44200,"丸鋸チェンソー＋１０_LV120_対戦厨（対人戦をしてる人）",31001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
45000,"変形弓＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",32000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
45001,"変形弓＋９_LV75__溜め血晶装備",32000900,1,31,1,-1,2,-1,2147483904,-1,2147483904,-1,1,0,0,0
45100,"変形弓＋９_LV96_基準（クリア後くらいのキャラ）",32000900,1,132000,1,126001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
45200,"変形弓＋１０_LV120_対戦厨（対人戦をしてる人）",32001000,1,981002,1,981002,2,981002,2147483904,-1,2147483904,-1,1,0,0,0
46000,"ガトリング＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",33000900,8,125000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
46100,"ガトリング＋９_LV96_基準（クリア後くらいのキャラ）",33000900,8,126000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
46200,"ガトリング＋１０_LV120_対戦厨（対人戦をしてる人）",33001000,8,981001,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
47000,"ナックル＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",34000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
47100,"ナックル＋９_LV96_基準（クリア後くらいのキャラ）",34000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
47200,"ナックル＋１０_LV120_対戦厨（対人戦をしてる人）",34001000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
48000,"グレネードランチャ＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",35000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
48100,"グレネードランチャ＋９_LV96_基準（クリア後くらいのキャラ）",35000900,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
48200,"グレネードランチャ＋１０_LV120_対戦厨（対人戦をしてる人）",35001000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
49000,"貫通銃＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",36000900,8,125000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
49100,"貫通銃＋９_LV96_基準（クリア後くらいのキャラ）",36000900,8,126000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
49200,"貫通銃＋１０_LV120_対戦厨（対人戦をしてる人）",36001000,8,981001,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
50000,"なめくじ＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",38000900,1,132000,2,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
50100,"なめくじ＋９_LV96_基準（クリア後くらいのキャラ）",38000900,1,132000,2,126001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
50200,"なめくじ＋１０_LV120_対戦厨（対人戦をしてる人）",38001000,1,981002,2,981002,1,981002,2147483904,-1,2147483904,-1,1,0,0,0
100000,"斧竿＋１０",5001000,1,980114,1,980114,2,980114,2147483904,-1,2147483904,-1,1,0,0,0
110000,"剣大槌＋１０",8001000,1,980114,2,980114,1,980114,2147483904,-1,2147483904,-1,1,0,0,0
900000,"尼僧短剣",900000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
1000000,"素手",1000000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
1990000,"徘徊拳",1990000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
2000000,"日本刀",2000000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000100,"日本刀＋１",2000100,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000200,"日本刀＋２",2000200,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000300,"日本刀＋３",2000300,1,-1,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000400,"日本刀＋４",2000400,1,-1,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000500,"日本刀＋５",2000500,1,-1,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000600,"日本刀＋６",2000600,1,-1,1,-1,2,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000700,"日本刀＋７",2000700,1,-1,1,-1,2,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000800,"日本刀＋８",2000800,1,-1,1,-1,2,-1,2147483904,-1,2147483904,-1,1,1,1,2
2000900,"日本刀＋９",2000900,1,-1,1,-1,2,-1,2147483904,-1,2147483904,-1,1,1,1,2
2001000,"日本刀＋１０",2001000,1,-1,1,-1,2,-1,2147483904,-1,2147483904,-1,1,1,1,2
2010000,"日本刀",2010000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010100,"日本刀＋１",2010100,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010200,"日本刀＋２",2010200,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010300,"日本刀＋３",2010300,1,-1,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010400,"日本刀＋４",2010400,1,-1,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010500,"日本刀＋５",2010500,1,-1,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010600,"日本刀＋６",2010600,1,-1,1,-1,4,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010700,"日本刀＋７",2010700,1,-1,1,-1,4,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010800,"日本刀＋８",2010800,1,-1,1,-1,4,-1,2147483904,-1,2147483904,-1,1,1,1,3
2010900,"日本刀＋９",2010900,1,-1,1,-1,4,-1,2147483904,-1,2147483904,-1,1,1,1,3
2011000,"日本刀＋１０",2011000,1,-1,1,-1,4,-1,2147483904,-1,2147483904,-1,1,1,1,3
2020000,"日本刀",2020000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,4
2020100,"日本刀＋１",2020100,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,4
2020200,"日本刀＋２",2020200,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,4
2020300,"日本刀＋３",2020300,1,-1,1,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,1,1,4
