ID,Description,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,basicPrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,antiDemonDamageRate,antSaintDamageRate,antWeakA_DamageRate,antWeakB_DamageRate,levelSyncCorrectId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,saWeaponDamage,saDurability,guardAngle,staminaGuardDef,reinforceTypeId,compTrophySedId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defMaterial,defSfxMaterial,correctType,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,isDurabilityDivergence,rightHandEquipable:1,leftHandEquipable:1,bothHandEquipable:1,arrowSlotEquipable:1,boltSlotEquipable:1,enableGuard:1,enableParry:1,enableMagic:1,enableSorcery:1,enableMiracle:1,enableVowMagic:1,isNormalAttackType:1,isBlowAttackType:1,isSlashAttackType:1,isThrustAttackType:1,isEnhance:1,isLuckCorrect:1,isCustom:1,disableBaseChangeReset:1,disableRepair:1,isDarkHand:1,simpleModelForDlc:1,lanternWep:1,isVersusGhostWep:1,baseChangeCategory:6,isDragonSlayer:1,isDeposit:1,disableMultiDropShare:1,invisibleOnRemo:1,isAttributeWep:1,isEnchantLeftHand:1,isGuestDrop:1,therianthropeGuardResist,PhysAtkMenuDispType,wepmotionHangType,dmypolyId_Slot0RightHang,dmypolyId_Slot0RightFormA,dmypolyId_Slot0RightFormB,dmypolyId_Slot0LeftHang,dmypolyId_Slot0LeftFormA,dmypolyId_Slot0LeftFormB,dmypolyId_Slot1RightHang,dmypolyId_Slot1RightFormA,dmypolyId_Slot1RightFormB,dmypolyId_Slot1LeftHang,dmypolyId_Slot1LeftFormA,dmypolyId_Slot1LeftFormB,dmypolyId_Slot2RightHang,dmypolyId_Slot2RightFormA,dmypolyId_Slot2RightFormB,dmypolyId_Slot2LeftHang,dmypolyId_Slot2LeftFormA,dmypolyId_Slot2LeftFormB,dmypolyId_Slot3RightHang,dmypolyId_Slot3RightFormA,dmypolyId_Slot3RightFormB,dmypolyId_Slot3LeftHang,dmypolyId_Slot3LeftFormA,dmypolyId_Slot3LeftFormB,wepRegainHp,bulletConsumeNum,repositoryCategory
12000,"【システム】火炎瓶",0,-1,0,0.0,0.0,0,0,-1,30.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,137,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
13000,"【システム】油壷",0,-1,0,0.0,0.0,0,0,-1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,136,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
14000,"【システム】石ころ",0,-1,0,0.0,0.0,0,0,-1,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,136,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15000,"【システム】補正なしスペル",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,140,-1,-1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,5,50,50,2,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
16000,"【システム】メニューに能力補正“－”を表示するための武器",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,140,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
17000,"【システム】スペル用仮想武器：蛇召喚",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,142,-1,-1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,5,50,50,2,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
900000,"尼僧短剣",90,-1,1090000,1.0,0.0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,-1,-1,1900,0,1,0,1,10,65,0,0,0,10,10,0,0,0,0,-1,-1,0,-1,7,0,0,131,2,0,50,50,0,1,0,0,0,0,0,0,0,99,0,0,10,99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,40,400,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,15
1000000,"素手",100,-1,1090000,0.0,0.0,0,0,-1,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,-1,-1,1000,1000,1,0,1,10,25,0,0,0,20,5,0,0,0,0,-1,-1,0,-1,7,0,9,42,2,3,53,59,6,1,0,0,21,0,0,0,0,99,0,0,10,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,407,304,324,457,344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,15
1090000,"徘徊拳",100,-1,1090000,0.0,0.0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,-1,-1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,7,0,9,42,2,3,53,59,0,1,0,0,21,0,0,0,0,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,407,304,324,457,344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,15
2000000,"日本刀",200,55100,2090000,5.0,0.0,400,160,30000,15.0,45.0,60.0,33.0,30.0,30.0,30.0,30.0,6409,-1,-1,6740,-1,-1,0,2000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,130,-1,-1,1063,1001,120,120,1,10,92,0,0,0,40,15,0,0,30,0,5,-1,0,-1,7,0,3,29,2,0,50,50,0,1,0,0,27,10,14,12,0,99,0,0,10,20,0,2,0,0,0,30,30,30,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,412,300,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,2
2000100,"日本刀＋１",200,55101,2090000,5.0,0.0,520,200,30000,16.0,47.0,65.0,34.0,30.0,30.0,30.0,30.0,6409,-1,-1,6740,-1,-1,100,2000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,130,-1,-1,1063,1001,120,120,1,10,101,0,0,0,42,15,0,0,30,0,5,-1,0,-1,7,0,3,29,2,0,50,50,0,1,0,0,27,10,14,12,0,99,0,0,10,20,0,2,0,0,0,30,30,30,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,412,300,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,2
2000200,"日本刀＋２",200,55102,2090000,5.0,0.0,640,260,30000,17.0,49.0,70.0,36.0,30.0,30.0,30.0,30.0,6409,-1,-1,6740,-1,-1,200,2000100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,130,-1,-1,1063,1001,120,120,1,10,110,0,0,0,44,15,0,0,30,0,5,-1,0,-1,7,0,3,29,2,0,50,50,0,1,0,0,27,10,14,12,0,99,0,0,10,20,0,2,0,0,0,30,30,30,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,412,300,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,2
2000300,"日本刀＋３",200,55103,2090000,5.0,0.0,760,300,30000,18.0,51.0,75.0,37.0,30.0,30.0,30.0,30.0,6409,-1,-1,6740,-1,-1,300,2000200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,130,-1,-1,1063,1001,120,120,1,10,119,0,0,0,46,15,0,0,30,0,5,-1,0,-1,7,0,3,29,2,0,50,50,0,1,0,0,27,10,14,12,0,99,0,0,10,20,0,2,0,0,0,30,30,30,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,412,300,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,2
2000400,"日本刀＋４",200,55104,2090000,5.0,0.0,880,360,30000,19.0,53.0,80.0,39.0,30.0,30.0,30.0,30.0,6409,-1,-1,6740,-1,-1,400,2000300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,130,-1,-1,1063,1001,120,120,1,10,128,0,0,0,48,15,0,0,30,0,5,-1,0,-1,7,0,3,29,2,0,50,50,0,1,0,0,27,10,14,12,0,99,0,0,10,20,0,2,0,0,0,30,30,30,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,412,300,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,2
2000500,"日本刀＋５",200,55105,2090000,5.0,0.0,1000,400,30000,20.0,55.0,85.0,41.0,30.0,30.0,30.0,30.0,6409,-1,-1,6740,-1,-1,500,2000400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,130,-1,-1,1063,1001,120,120,1,10,137,0,0,0,50,15,0,0,30,0,5,-1,0,-1,7,0,3,29,2,0,50,50,0,1,0,0,27,10,14,12,0,99,0,0,10,20,0,2,0,0,0,30,30,30,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,412,300,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,2
2000600,"日本刀＋６",200,55106,2090000,5.0,0.0,1120,440,30000,21.0,57.0,90.0,42.0,30.0,30.0,30.0,30.0,6409,-1,-1,6740,-1,-1,600,2000500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,130,-1,-1,1063,1001,120,120,1,10,146,0,0,0,52,15,0,0,30,0,5,-1,0,-1,7,0,3,29,2,0,50,50,0,1,0,0,27,10,14,12,0,99,0,0,10,20,0,2,0,0,0,30,30,30,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,412,300,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,2
